"";"V1";"V2";"V3";"V4";"V5";"V6"
"1";"iris";"33,33333";"86,666667";"90";"76,66667";"86,66667"
"2";"bupa";"58,82353";"58,823529";"58,82353";"58,82353";"60"
"3";"segment";"77,70563";"86,580087";"86,14719";"87,22944";"89,17749"
"4";"waveform-5000";"34";"44";"41,3";"48,6";"46,00798"
"5";"phishingData";"82,14286";"82,081448";"83,63472";"84,90054";"85,03617"
"6";"mushroom";"97,29064";"98,216482";"98,76847";"98,76847";"98,83149"
"7";"pima";"65,78947";"71,428571";"65,78947";"69,48052";"68,18182"
"8";"vehicle";"45,2381";"64,705882";"64,70588";"74,70588";"71,76471"
"9";"wilt";"96,08247";"95,454545";"94,6281";"94,6281";"94,6281"
"10";"kr-vs-kp";"73,19749";"73,4375";"75,625";"77,65625";"76,25"
"11";"blood-transfusion-service";"77,02703";"77,027027";"77,02703";"77,33333";"77,02703"
"12";"cnae-9";"61,11111";"62,5";"68,05556";"70,37037";"68,51852"
"13";"connectionist-mines-vs-rocks";"59,52381";"67,5";"76,19048";"71,42857";"73,80952"
"14";"flare";"37,76978";"41,304348";"40,64748";"40,28777";"42,80576"
"15";"indian-liver-patient";"72,41379";"72,413793";"72,41379";"72,41379";"72,41379"
"16";"leukemia-haslinger";"50";"80";"85";"90";"80"
"17";"mammographic-mass";"81,57895";"81,578947";"82,29167";"82,63158";"84,21053"
"18";"mfeat-karhunen";"40,75";"53,75";"54,75";"56,25";"57,25"
"19";"musk";"91,13636";"95,447648";"95,83333";"95,90288";"97,42424"
"20";"ozone-onehr";"97,24409";"97,244094";"97,24409";"97,24409";"97,24409"
"21";"pendigits";"77,0073";"81,210191";"83,66697";"84,79053";"86,39672"
"22";"planning-relax";"72,22222";"72,222222";"72,22222";"72,22222";"72,22222"
"23";"seeds";"88,09524";"92,857143";"92,85714";"92,85714";"95,2381"
"24";"semeion";"32,07547";"43,4375";"50,93168";"51,5625";"53,125"
"25";"spectf-heart";"74,28571";"74,285714";"74,28571";"73,52941";"75,71429"
"26";"tic-tac-toe";"65,625";"65,625";"65,625";"65,625";"65,625"
"27";"twonorm";"83,28823";"82,321188";"82,83784";"82,20568";"83,19838"
"28";"hill-valley-with-noise";"53,30579";"57,024793";"59,01639";"53,75";"53,30579"
"29";"balance-scale";"53,96825";"50,793651";"50,80645";"48,3871";"54,83871"
"30";"car";"70,34884";"70,348837";"70,34884";"70,34884";"70,34884"
