"";"V1";"V2";"V3";"V4";"V5";"V6"
"1";"iris";"79,333332";"72,999999";"79,666668";"79,666666";"79"
"2";"bupa";"56,953783";"53,663865";"55,378152";"58,264707";"58,987396"
"3";"segment";"77,662338";"79,52381";"82,467532";"84,740259";"85,735932"
"4";"waveform-5000";"36,637888";"44,600173";"47,195577";"55,040396";"57,552018"
"5";"phishingData";"79,746807";"81,650852";"82,33836";"83,138878";"84,025278"
"6";"mushroom";"80,760699";"85,947593";"86,237382";"89,820231";"90,915534"
"7";"pima";"65,942412";"65,891147";"66,666098";"65,758714";"67,316302"
"8";"vehicle";"49,152808";"57,934874";"60,106005";"58,401357";"59,677677"
"9";"wilt";"94,616717";"94,627069";"94,596055";"94,585703";"94,627026"
"10";"kr-vs-kp";"64,093701";"69,081946";"71,275421";"72,871718";"73,762489"
"11";"blood-transfusion-service";"74,734234";"75,197296";"76,007208";"76,13874";"76,67027"
"12";"cnae-9";"46,203705";"59,351853";"62,962964";"65";"67,314814"
"13";"connectionist-mines-vs-rocks";"55,127705";"65,159092";"63,967532";"67,974025";"68,959956"
"14";"flare";"23,629279";"24,11277";"27,328088";"31,063466";"37,364599"
"15";"indian-liver-patient";"71,269726";"71,269726";"71,355933";"71,269726";"71,269726"
"16";"leukemia-haslinger";"74,939394";"72,020202";"80,646465";"83,747475";"85,303031"
"17";"mammographic-mass";"76,947561";"77,776623";"77,933991";"78,090765";"77,682769"
"18";"mfeat-karhunen";"67,85";"76";"78,525";"79,95";"81,15"
"19";"musk";"92,073411";"93,695003";"94,339529";"95,051663";"95,483688"
"20";"ozone-onehr";"97,082478";"97,062716";"97,121771";"97,062482";"97,102008"
"21";"pendigits";"85,748875";"87,768116";"89,282958";"89,483582";"90,01557"
"22";"planning-relax";"70,90643";"69,619881";"71,198828";"71,184208";"70,92105"
"23";"seeds";"85,238096";"85,476191";"85,952382";"86,190475";"87,857143"
"24";"semeion";"50,654563";"59,54909";"64,997478";"66,760105";"68,547101"
"25";"spectf-heart";"68,941175";"68,172269";"69,205881";"68,92437";"72,495799"
"26";"tic-tac-toe";"65,240787";"64,561522";"65,707927";"65,342772";"65,757873"
"27";"twonorm";"91,418511";"91,831184";"91,952653";"92,054114";"91,912174"
"28";"hill-valley-with-noise";"49,657481";"50,953841";"49,555022";"50,604807";"51,097283"
"29";"balance-scale";"42,880184";"42,907066";"51,610342";"50,500512";"58,367896"
"30";"car";"70,024937";"70,024937";"70,024937";"70,024937";"70,024937"
