"";"V1";"V2";"V3";"V4";"V5";"V6"
"1";"iris";"56,666667";"71,666666";"74,666668";"72,000002";"78,999998"
"2";"bupa";"53,584035";"51,130253";"54,058824";"57,42017";"56,949581"
"3";"segment";"70,34632";"76,709956";"80,69264";"81,471861";"83,91775"
"4";"waveform-5000";"33,669742";"34,719142";"34,169361";"36,171206";"37,130529"
"5";"phishingData";"73,672113";"77,788693";"79,488696";"80,981684";"82,496708"
"6";"mushroom";"76,009974";"80,228688";"81,751966";"80,366522";"79,943795"
"7";"pima";"64,136192";"67,715311";"66,605433";"66,86603";"67,850306"
"8";"vehicle";"45,416473";"54,925973";"57,11418";"58,16288";"58,334579"
"9";"wilt";"95,009364";"94,74094";"94,750992";"94,637377";"94,751055"
"10";"kr-vs-kp";"59,196574";"62,798618";"66,551466";"70,152666";"71,337671"
"11";"blood-transfusion-service";"73,92973";"75,405406";"75,270271";"74,334235";"76,207208"
"12";"cnae-9";"53,240741";"55,555556";"58,37963";"62,222222";"61,481481"
"13";"connectionist-mines-vs-rocks";"54,119047";"55,821427";"56,45238";"59,369046";"62,047619"
"14";"flare";"30,331779";"30,015201";"31,786508";"29,883599";"33,846778"
"15";"indian-liver-patient";"67,996606";"71,615834";"71,44342";"71,528115";"71,354241"
"16";"leukemia-haslinger";"48,989899";"66,020202";"64,833333";"69,151515";"75,494949"
"17";"mammographic-mass";"74,793889";"74,355733";"78,661993";"77,519951";"78,612627"
"18";"mfeat-karhunen";"34,35";"43,45";"45,675";"49,025";"52,45"
"19";"musk";"84,3521";"91,126643";"92,18754";"93,38514";"93,392245"
"20";"ozone-onehr";"97,121771";"96,688153";"97,102086";"97,102086";"97,082245"
"21";"pendigits";"75,405637";"79,753876";"81,781901";"83,265303";"83,87472"
"22";"planning-relax";"69,8538";"69,239765";"68,961986";"71,184208";"71,461986"
"23";"seeds";"70,238096";"79,285715";"81,666667";"84,285716";"84,047619"
"24";"semeion";"21,404821";"31,631758";"35,642867";"41,365628";"42,188379"
"25";"spectf-heart";"68,772642";"70,448644";"73,532679";"72,332167";"73,79365"
"26";"tic-tac-toe";"63,999916";"65,087222";"65,557114";"64,611948";"65,866358"
"27";"twonorm";"83,729446";"82,575749";"84,304292";"83,979904";"84,635273"
"28";"hill-valley-with-noise";"51,412241";"53,794326";"49,504512";"51,3218";"50,745873"
"29";"balance-scale";"43,690267";"45,73546";"44,665941";"47,042969";"54,41666"
"30";"car";"60,373765";"70,024929";"70,024929";"70,024929";"70,024929"
