"";"V1";"V2";"V3";"V4";"V5";"V6"
"1";"iris";"69";"82,000001";"85,999999";"86";"86,333333"
"2";"bupa";"52,340337";"52,27731";"54,487394";"50,27311";"50,588235"
"3";"segment";"58,073593";"59,588745";"59,891774";"61,515152";"63,593073"
"4";"waveform-5000";"52,579433";"55,260596";"55,69996";"55,749558";"55,759962"
"5";"phishingData";"67,366794";"71,786303";"77,42227";"79,058378";"80,416307"
"6";"mushroom";"91,531067";"91,25436";"91,561962";"91,832746";"92,201939"
"7";"pima";"65,489575";"67,835783";"69,717191";"70,696343";"70,500682"
"8";"vehicle";"35,981091";"36,758355";"38,43678";"38,769037";"40,132532"
"9";"wilt";"94,55469";"94,575373";"94,554775";"94,575372";"94,689009"
"10";"kr-vs-kp";"61,046727";"63,579839";"65,489028";"67,100461";"68,05486"
"11";"blood-transfusion-service";"72,184686";"74,201801";"73,527027";"73,734234";"73,46036"
"12";"cnae-9";"19,351852";"18,750001";"18,10185";"16,435185";"15,972221"
"13";"connectionist-mines-vs-rocks";"55,266233";"53,824674";"57,94264";"58,649351";"60"
"14";"flare";"31,509027";"36,438886";"30,642134";"33,908978";"34,522561"
"15";"indian-liver-patient";"41,526323";"41,517399";"41,001671";"40,572149";"40,398221"
"16";"leukemia-haslinger";"72,89394";"80,651515";"84,60606";"84,151515";"86,515151"
"17";"mammographic-mass";"75,438161";"76,166723";"76,899763";"77,261615";"77,312077"
"18";"mfeat-karhunen";"72,15";"74,225";"74,725";"74,675";"76,15"
"19";"musk";"69,464881";"68,618682";"70,732351";"72,560032";"73,280945"
"20";"ozone-onehr";"68,796687";"60,628544";"61,024414";"61,753159";"60,923732"
"21";"pendigits";"60,806075";"64,117664";"66,351697";"68,248561";"69,449266"
"22";"planning-relax";"69,809939";"69,312863";"67,909356";"68,947367";"67,558479"
"23";"seeds";"84,04762";"87,380952";"87,380953";"88,333334";"88,333335"
"24";"semeion";"38,539791";"47,185409";"53,239726";"53,39914";"55,003437"
"25";"spectf-heart";"67,887956";"55,693746";"57,086133";"57,666433";"56,65733"
"26";"tic-tac-toe";"64,976425";"65,344298";"65,344298";"65,656798";"65,447916"
"27";"twonorm";"92,128528";"92,169096";"92,115014";"92,169123";"92,175797"
"28";"hill-valley-with-noise";"51,020452";"50,199827";"50,742435";"49,705579";"50,045053"
"29";"balance-scale";"41,825396";"50,885817";"48,958013";"57,136456";"63,525348"
"30";"car";"70,02447";"70,02447";"70,02447";"70,02447";"70,02447"
