"";"V1";"V2";"V3";"V4";"V5";"V6"
"1";"iris";"33,33333";"67,6666666";"69,333333";"67,666667";"77,333333"
"2";"bupa";"55,336136";"53,7941175";"56,806724";"55,789917";"57,386556"
"3";"segment";"74,545455";"79,6320346";"83,333333";"85,086582";"86,233768"
"4";"waveform-5000";"33,490138";"34,5302203";"34,040038";"35,491301";"38,802076"
"5";"phishingData";"75,707417";"79,7330284";"81,836381";"83,098165";"83,781145"
"6";"mushroom";"95,673425";"97,5935232";"98,221336";"98,184405";"98,467423"
"7";"pima";"61,85919";"63,8721805";"65,041007";"65,757857";"65,883456"
"8";"vehicle";"38,548608";"52,1762722";"58,277862";"62,920332";"62,156244"
"9";"wilt";"94,812635";"94,6890083";"94,606365";"94,606365";"94,606365"
"10";"kr-vs-kp";"64,146894";"68,0087677";"69,398413";"73,763421";"74,06005"
"11";"blood-transfusion-service";"74,005406";"76,2054054";"76,205406";"75,938739";"75,731532"
"12";"cnae-9";"55,833333";"60,0925924";"62,037038";"64,351851";"65,509258"
"13";"connectionist-mines-vs-rocks";"54,790042";"52,4880953";"54,331169";"56,475108";"56,997835"
"14";"flare";"31,029968";"28,726261";"32,259293";"34,594312";"38,264248"
"15";"indian-liver-patient";"71,443241";"71,3584958";"71,358495";"71,358495";"71,358495"
"16";"leukemia-haslinger";"48,989899";"62,439394";"60,101011";"55,212122";"56,272727"
"17";"mammographic-mass";"75,967235";"76,2319927";"76,804374";"78,315394";"76,284088"
"18";"mfeat-karhunen";"28,95";"40,275";"50,3";"53,3";"54,1"
"19";"musk";"90,216616";"93,1649193";"94,346819";"95,180415";"95,94559"
"20";"ozone-onehr";"96,924143";"97,1217731";"97,121771";"97,121771";"97,121771"
"21";"pendigits";"73,094992";"78,520872";"81,099161";"83,278955";"84,260879"
"22";"planning-relax";"71,461986";"67,0175438";"69,619881";"71,461986";"71,461986"
"23";"seeds";"40,238093";"78,5714286";"84,52381";"80,714286";"82,857144"
"24";"semeion";"18,390798";"33,5989047";"38,588588";"45,982714";"49,021955"
"25";"spectf-heart";"72,351539";"71,6816059";"73,078429";"72,221287";"73,217319"
"26";"tic-tac-toe";"64,928287";"64,4595373";"64,976533";"65,035676";"65,396501"
"27";"twonorm";"80,91258";"80,0331769";"80,526094";"81,493387";"81,763383"
"28";"hill-valley-with-noise";"50,042017";"49,1785947";"51,516753";"50,335349";"49,26333"
"29";"balance-scale";"43,666155";"40,3533026";"45,273939";"41,214799";"43,963133"
"30";"car";"70,024462";"70,0244596";"70,024462";"70,024462";"70,024462"
