"";"V1";"V2";"V3";"V4";"V5";"V6"
"1";"iris";"60";"63,33333";"66,66667";"73,33333";"63,33333"
"2";"bupa";"51,47059";"40";"42,85714";"55,88235";"55,71429"
"3";"segment";"73,16017";"75,75758";"79,00433";"80,51948";"82,46753"
"4";"waveform-5000";"33,7";"33,6";"34,2";"49,6";"53,59281"
"5";"phishingData";"77,12477";"80";"80,78662";"81,73599";"83,07692"
"6";"mushroom";"76,16995";"78,01724";"79,49507";"86,16236";"89,8399"
"7";"pima";"60,52632";"64,28571";"63,63636";"62,33766";"64,28571"
"8";"vehicle";"35,71429";"50";"55,95238";"53,48837";"52,97619"
"9";"wilt";"94,43299";"94,43299";"94,3299";"94,43299";"94,43299"
"10";"kr-vs-kp";"58,62069";"62,06897";"67,7116";"69,59248";"71,31661"
"11";"blood-transfusion-service";"69,33333";"72";"74";"74,66667";"75,33333"
"12";"cnae-9";"27,31481";"46,75926";"55,55556";"54,62963";"61,57407"
"13";"connectionist-mines-vs-rocks";"43,18182";"45,2381";"52,38095";"54,7619";"59,52381"
"14";"flare";"18,84058";"15,10791";"18,11594";"23,92857";"32,3741"
"15";"indian-liver-patient";"69,82759";"69,82759";"70,68966";"69,82759";"69,82759"
"16";"leukemia-haslinger";"60";"50";"55,55556";"61,11111";"66,66667"
"17";"mammographic-mass";"73,71134";"74,2268";"74,21053";"73,19588";"74,47917"
"18";"mfeat-karhunen";"60";"73,5";"71,5";"75";"75,25"
"19";"musk";"90,45455";"93,0303";"93,10606";"93,86364";"94,69697"
"20";"ozone-onehr";"96,65354";"96,25984";"96,85039";"96,83794";"96,85039"
"21";"pendigits";"84,82224";"86,52095";"88,54545";"87,78383";"89,19164"
"22";"planning-relax";"68,42105";"50";"65,78947";"68,42105";"65,78947"
"23";"seeds";"71,42857";"78,57143";"73,80952";"73,80952";"78,57143"
"24";"semeion";"32,7044";"54,71698";"61,63522";"63,20755";"64,46541"
"25";"spectf-heart";"61,42857";"60,29412";"54,28571";"57,14286";"58,57143"
"26";"tic-tac-toe";"64,21053";"60,41667";"64,73684";"64,73684";"64,21053"
"27";"twonorm";"89,51286";"91,08108";"91,21622";"91,35135";"91,21622"
"28";"hill-valley-with-noise";"40,83333";"44,2623";"45,04132";"41,66667";"42,5"
"29";"balance-scale";"32,25806";"26,98413";"42,06349";"45,2381";"45,16129"
"30";"car";"69,54023";"69,54023";"69,54023";"69,54023";"69,54023"
