"";"V1";"V2";"V3";"V4";"V5";"V6"
"1";"iris";"33,33333";"50";"56,66667";"36,66667";"70"
"2";"bupa";"41,17647";"35,29412";"42,64706";"50";"45,58824"
"3";"segment";"64,71861";"71,86147";"75,10823";"78,13853";"79,87013"
"4";"waveform-5000";"32,9";"32,93413";"33,06613";"33,4";"33,23353"
"5";"phishingData";"64,29864";"74,32188";"76,7179";"79,06872";"80,83183"
"6";"mushroom";"72,81673";"74,53761";"76,47783";"76,75277";"76,26076"
"7";"pima";"45,45455";"59,09091";"63,63636";"59,09091";"60,38961"
"8";"vehicle";"35,71429";"42,35294";"44,11765";"51,76471";"52,35294"
"9";"wilt";"94,43299";"94,43299";"94,43299";"94,43299";"94,43299"
"10";"kr-vs-kp";"53,90625";"56,875";"58,62069";"63,4375";"66,40625"
"11";"blood-transfusion-service";"61,33333";"68,66667";"70";"64";"72"
"12";"cnae-9";"44,90741";"49,53704";"53,24074";"58,33333";"57,87037"
"13";"connectionist-mines-vs-rocks";"40,47619";"42,85714";"38,09524";"45,2381";"45,2381"
"14";"flare";"22,5";"22,9927";"26,25899";"22,30216";"27,85714"
"15";"indian-liver-patient";"50";"70,68966";"70,68966";"70,68966";"70,68966"
"16";"leukemia-haslinger";"44,44444";"50";"50";"50";"55"
"17";"mammographic-mass";"46,39175";"54,16667";"73,4375";"70,83333";"70,83333"
"18";"mfeat-karhunen";"28,25";"36";"40,75";"43";"45,75"
"19";"musk";"56,13636";"87,44327";"90,15152";"91,45234";"91,06061"
"20";"ozone-onehr";"96,85039";"95,47244";"96,85039";"96,85039";"96,85039"
"21";"pendigits";"72,45917";"77,72727";"80,63636";"82,07804";"82,59091"
"22";"planning-relax";"57,89474";"63,88889";"50";"68,42105";"68,42105"
"23";"seeds";"50";"52,38095";"69,04762";"59,52381";"69,04762"
"24";"semeion";"14,0625";"27,98742";"25,63291";"36,6242";"36,16352"
"25";"spectf-heart";"60";"60,29412";"68,57143";"67,14286";"64,28571"
"26";"tic-tac-toe";"55,15464";"62,37113";"63,02083";"62,10526";"63,54167"
"27";"twonorm";"81,93505";"73,21188";"82,7027";"81,68919";"83,04054"
"28";"hill-valley-with-noise";"40,16393";"48,33333";"43,03279";"42,97521";"40,83333"
"29";"balance-scale";"38,09524";"38,52459";"31,74603";"43,65079";"46,03175"
"30";"car";"22,09302";"69,54023";"69,54023";"69,54023";"69,54023"
