"";"V1";"V2";"V3";"V4";"V5";"V6"
"1";"iris";"63,33333";"66,66667";"76,66667";"76,66667";"73,33333"
"2";"bupa";"41,42857";"33,82353";"42,85714";"41,17647";"41,17647"
"3";"segment";"51,94805";"56,49351";"54,329";"56,27706";"59,30736"
"4";"waveform-5000";"43,4";"52,20441";"54,6";"54,5";"53,9"
"5";"phishingData";"57,82805";"67,46606";"73,59855";"75,70136";"76,40145"
"6";"mushroom";"90,01233";"89,8399";"89,71675";"90,45567";"90,82512"
"7";"pima";"58,44156";"57,79221";"63,81579";"67,10526";"64,47368"
"8";"vehicle";"29,7619";"33,33333";"28,48837";"35,71429";"34,52381"
"9";"wilt";"94,31818";"94,42149";"94,12371";"94,43299";"94,43299"
"10";"kr-vs-kp";"56,26959";"60,50157";"63,90625";"63,28125";"63,75"
"11";"blood-transfusion-service";"61,48649";"70,66667";"70";"70";"70,94595"
"12";"cnae-9";"12,03704";"11,57407";"14,81481";"12,5";"11,11111"
"13";"connectionist-mines-vs-rocks";"42,85714";"38,09524";"47,5";"47,61905";"47,61905"
"14";"flare";"24,28571";"31,15942";"17,6259";"18,70504";"19,78417"
"15";"indian-liver-patient";"37,06897";"36,44068";"37,28814";"35,59322";"37,93103"
"16";"leukemia-haslinger";"55";"68,18182";"72,72727";"68,18182";"80"
"17";"mammographic-mass";"68,75";"69,27083";"68,75";"69,79167";"69,27083"
"18";"mfeat-karhunen";"67,5";"71,5";"71,5";"71,5";"73,5"
"19";"musk";"59,86343";"59,78756";"58,42185";"60,98485";"67,72727"
"20";"ozone-onehr";"63,18898";"52,95276";"54,70588";"56,12648";"53,92157"
"21";"pendigits";"53,87067";"61,98724";"64,34426";"65,89253";"67,91249"
"22";"planning-relax";"58,33333";"55,26316";"60,52632";"63,88889";"55,55556"
"23";"seeds";"71,42857";"78,57143";"76,19048";"80,95238";"78,57143"
"24";"semeion";"22,8125";"38,81988";"47,51553";"49,06832";"47,8125"
"25";"spectf-heart";"60,29412";"45,71429";"47,05882";"47,05882";"47,05882"
"26";"tic-tac-toe";"62,10526";"64,58333";"64,58333";"64,58333";"64,58333"
"27";"twonorm";"91,08108";"91,14865";"91,08108";"91,08108";"91,14865"
"28";"hill-valley-with-noise";"47,08333";"43,38843";"45,08197";"45,4918";"43,85246"
"29";"balance-scale";"26,6129";"46,03175";"44,44444";"46,03175";"47,58065"
"30";"car";"69,54023";"69,54023";"69,54023";"69,54023";"69,54023"
