"";"V1";"V2";"V3";"V4";"V5";"V6"
"1";"iris";"33,33333";"33,333333";"50";"60";"63,33333"
"2";"bupa";"41,17647";"38,571429";"47,05882";"50";"50"
"3";"segment";"68,61472";"76,623377";"79,22078";"81,81818";"82,68398"
"4";"waveform-5000";"33,13373";"33,133733";"33";"33";"33"
"5";"phishingData";"69,59276";"71,900452";"79,86425";"82,14286";"82,3689"
"6";"mushroom";"94,33498";"96,182266";"97,47847";"97,04433";"98,02956"
"7";"pima";"50";"50";"64,28571";"64,93506";"64,47368"
"8";"vehicle";"24,70588";"42,168675";"46,47059";"54,21687";"56,0241"
"9";"wilt";"94,61698";"94,43299";"94,43299";"94,43299";"94,43299"
"10";"kr-vs-kp";"56,71875";"61,5625";"57,96875";"70,53292";"71,94357"
"11";"blood-transfusion-service";"60";"76";"76";"70,66667";"71,62162"
"12";"cnae-9";"50,46296";"56,944444";"57,87037";"57,87037";"60,64815"
"13";"connectionist-mines-vs-rocks";"52,38095";"47,619048";"45,45455";"47,5";"45,45455"
"14";"flare";"21,78571";"24,100719";"24,10072";"30,21583";"33,57143"
"15";"indian-liver-patient";"70,68966";"70,689655";"70,68966";"70,68966";"70,68966"
"16";"leukemia-haslinger";"44,44444";"45";"45";"45";"45"
"17";"mammographic-mass";"64,0625";"58,854167";"69,79167";"72,39583";"66,14583"
"18";"mfeat-karhunen";"16,5";"28,25";"46,25";"48,5";"50,25"
"19";"musk";"88,33333";"92,121212";"93,78788";"94,39394";"94,99241"
"20";"ozone-onehr";"95,25692";"96,850394";"96,85039";"96,85039";"96,85039"
"21";"pendigits";"70,72727";"76,11465";"78,02548";"81,63636";"81,48317"
"22";"planning-relax";"68,42105";"27,777778";"50";"68,42105";"68,42105"
"23";"seeds";"33,33333";"59,52381";"66,66667";"61,90476";"64,28571"
"24";"semeion";"10,12658";"20,253165";"26,5625";"37,8882";"44,62025"
"25";"spectf-heart";"69,11765";"61,111111";"71,42857";"68,57143";"71,42857"
"26";"tic-tac-toe";"61,45833";"59,895833";"61,57895";"61,85567";"64,94845"
"27";"twonorm";"79,35223";"77,665317";"75,16915";"80,27027";"80,37889"
"28";"hill-valley-with-noise";"46,28099";"43,442623";"45,04132";"45,08197";"45,90164"
"29";"balance-scale";"29,03226";"8,064516";"37,09677";"19,84127";"27,41935"
"30";"car";"69,54023";"69,54023";"69,54023";"69,54023";"69,54023"
