"";"V1";"V2";"V3";"V4";"V5";"V6"
"1";"iris";"86,66667";"83,33333";"90";"90";"93,33333"
"2";"bupa";"58,82353";"60,29412";"67,14286";"58,82353";"61,42857"
"3";"segment";"82,03463";"84,19913";"87,66234";"88,09524";"88,74459"
"4";"waveform-5000";"39,92016";"52,6";"55,58882";"57,78443";"59,6"
"5";"phishingData";"81,49321";"83,93665";"84,20814";"84,38914";"85,02262"
"6";"mushroom";"91,68719";"91,94342";"89,7909";"90,59041";"92,11823"
"7";"pima";"72,07792";"71,05263";"72,07792";"72,07792";"74,67532"
"8";"vehicle";"57,14286";"61,30952";"65,29412";"70,58824";"64,88095"
"9";"wilt";"94,7205";"94,6281";"94,6281";"94,6281";"94,6281"
"10";"kr-vs-kp";"71,875";"73,28125";"74,0625";"77,96875";"76,09375"
"11";"blood-transfusion-service";"76";"78";"77,33333";"77,7027";"78,66667"
"12";"cnae-9";"55,09259";"65,74074";"69,90741";"70,83333";"73,14815"
"13";"connectionist-mines-vs-rocks";"66,66667";"72,5";"73,80952";"92,85714";"73,80952"
"14";"flare";"39,20863";"40";"40,21739";"41,78571";"42,75362"
"15";"indian-liver-patient";"72,41379";"72,41379";"72,41379";"72,41379";"72,41379"
"16";"leukemia-haslinger";"90";"95";"90,90909";"95";"95"
"17";"mammographic-mass";"84,375";"83,33333";"83,85417";"83,33333";"85,41667"
"18";"mfeat-karhunen";"74,5";"81,25";"83,5";"84";"87"
"19";"musk";"92,80303";"94,84848";"95,07576";"95,83333";"96,74242"
"20";"ozone-onehr";"97,24409";"97,24409";"97,24409";"97,24409";"97,24409"
"21";"pendigits";"86,96639";"88,6612";"89,93625";"90,30055";"90,68182"
"22";"planning-relax";"72,22222";"72,22222";"72,22222";"72,22222";"75"
"23";"seeds";"97,61905";"97,61905";"97,61905";"95,2381";"97,61905"
"24";"semeion";"62,1118";"66,77019";"69,56522";"69,18239";"71,42857"
"25";"spectf-heart";"79,41176";"77,77778";"77,14286";"77,14286";"80"
"26";"tic-tac-toe";"67,70833";"67,1875";"67,1875";"68,75";"68,22917"
"27";"twonorm";"92,56757";"92,97297";"92,77027";"92,90541";"93,10811"
"28";"hill-valley-with-noise";"53,30579";"61,66667";"55,3719";"55,3719";"56,61157"
"29";"balance-scale";"48,4127";"51,5873";"69,04762";"62,90323";"70,63492"
"30";"car";"70,34884";"70,34884";"70,34884";"70,34884";"70,34884"
