"";"V1";"V2";"V3";"V4";"V5";"V6"
"1";"iris";"76,66667";"86,66667";"90";"90";"90"
"2";"bupa";"58,82353";"58,82353";"58,82353";"60,29412";"60,29412"
"3";"segment";"79,43723";"82,68398";"86,14719";"86,36364";"87,01299"
"4";"waveform-5000";"33,5";"34,16834";"38,12375";"44,1";"43,3"
"5";"phishingData";"81,41953";"82,26244";"82,98643";"83,31826";"84,11765"
"6";"mushroom";"86,08374";"90,45567";"90,4674";"90,8867";"90,51724"
"7";"pima";"70,12987";"68,18182";"72,07792";"69,48052";"72,07792"
"8";"vehicle";"52,38095";"63,52941";"66,86047";"65,29412";"67,05882"
"9";"wilt";"96,17769";"96,07438";"94,6281";"94,6281";"94,93802"
"10";"kr-vs-kp";"66,09375";"67,7116";"73,90625";"75,23511";"74,6875"
"11";"blood-transfusion-service";"77,33333";"77,33333";"81,08108";"77,33333";"77,02703"
"12";"cnae-9";"58,7963";"63,88889";"68,51852";"66,66667";"66,2037"
"13";"connectionist-mines-vs-rocks";"72,5";"66,66667";"71,42857";"73,80952";"73,80952"
"14";"flare";"39,85507";"39,20863";"39,92806";"39,20863";"40,64748"
"15";"indian-liver-patient";"74,5614";"72,41379";"72,41379";"72,41379";"72,41379"
"16";"leukemia-haslinger";"50";"81,81818";"94,44444";"77,27273";"94,44444"
"17";"mammographic-mass";"83,85417";"82,8125";"82,8125";"82,8125";"84,375"
"18";"mfeat-karhunen";"41";"43,25";"53,5";"50";"56,75"
"19";"musk";"89,4697";"92,10926";"94,24242";"94,54545";"94,31818"
"20";"ozone-onehr";"97,24409";"97,24409";"97,24409";"97,24409";"97,24409"
"21";"pendigits";"78,63636";"81,92168";"83,87978";"84,99088";"85,83106"
"22";"planning-relax";"72,22222";"72,22222";"72,22222";"72,22222";"72,22222"
"23";"seeds";"92,85714";"90,47619";"97,61905";"95,2381";"97,61905"
"24";"semeion";"29,0625";"36,07595";"40,8805";"46,89441";"46,51899"
"25";"spectf-heart";"77,14286";"78,57143";"75,71429";"80";"77,77778"
"26";"tic-tac-toe";"66,14583";"65,78947";"67,70833";"66,14583";"67,1875"
"27";"twonorm";"85";"84,88529";"86,28378";"87,44939";"85,40541"
"28";"hill-valley-with-noise";"59,91736";"53,71901";"57,02479";"57,43802";"58,26446"
"29";"balance-scale";"52,38095";"54,83871";"61,11111";"53,27869";"61,29032"
"30";"car";"70,34884";"70,76023";"70,76023";"70,76023";"70,76023"
