"";"V1";"V2";"V3";"V4";"V5";"V6"
"1";"iris";"93,33333";"93,33333";"93,33333";"93,33333";"93,33333"
"2";"bupa";"67,14286";"57,35294";"58,82353";"61,76471";"61,76471"
"3";"segment";"63,41991";"64,28571";"62,33766";"65,58442";"65,80087"
"4";"waveform-5000";"56,1";"57,6";"58,38323";"58,7";"57,01403"
"5";"phishingData";"69,42935";"77,48644";"80,92224";"81,55515";"83,18264"
"6";"mushroom";"92,98893";"92,98893";"93,11193";"93,05043";"93,60394"
"7";"pima";"79,22078";"76,62338";"76,97368";"76,62338";"79,87013"
"8";"vehicle";"45,34884";"42,94118";"45,93023";"47,64706";"46,47059"
"9";"wilt";"94,6281";"94,6281";"94,6281";"94,83471";"94,83471"
"10";"kr-vs-kp";"64,42006";"67,39812";"67,8125";"72,57053";"70,15625"
"11";"blood-transfusion-service";"78,66667";"79,33333";"79,33333";"79,33333";"79,33333"
"12";"cnae-9";"23,14815";"30,55556";"28,24074";"23,14815";"24,07407"
"13";"connectionist-mines-vs-rocks";"69,04762";"70";"69,04762";"69,04762";"73,80952"
"14";"flare";"38,04348";"40,87591";"39,41606";"40";"40,28777"
"15";"indian-liver-patient";"47,45763";"50";"53,38983";"51,69492";"48,30508"
"16";"leukemia-haslinger";"85";"100";"95";"100";"100"
"17";"mammographic-mass";"81,77083";"82,98969";"80,41237";"80,92784";"80,41237"
"18";"mfeat-karhunen";"75,75";"76,75";"78,75";"80,25";"79,5"
"19";"musk";"78,40909";"76,06061";"74,35508";"77,23824";"80,03026"
"20";"ozone-onehr";"81,2253";"65,61265";"64,42688";"65,74803";"64,76378"
"21";"pendigits";"63,55778";"66,33303";"67,99637";"69,69973";"71,42857"
"22";"planning-relax";"72,22222";"72,22222";"75";"72,22222";"72,22222"
"23";"seeds";"90,47619";"97,61905";"97,61905";"97,61905";"97,61905"
"24";"semeion";"42,8125";"53,16456";"58,5443";"59,43396";"59,6875"
"25";"spectf-heart";"68,57143";"69,11765";"64,28571";"65,71429";"60"
"26";"tic-tac-toe";"65,625";"65,625";"65,625";"66,14583";"66,66667"
"27";"twonorm";"92,97297";"92,97297";"93,04054";"93,24324";"93,04054"
"28";"hill-valley-with-noise";"52,89256";"55,78512";"52,04918";"54,95868";"57,43802"
"29";"balance-scale";"49,19355";"63,49206";"59,67742";"69,84127";"66,12903"
"30";"car";"70,34884";"70,34884";"70,34884";"70,34884";"70,34884"
