"";"V1";"V2";"V3";"V4";"V5";"V6"
"1";"iris";"33,33333";"76,666667";"80";"86,66667";"83,33333"
"2";"bupa";"58,82353";"61,428571";"58,82353";"58,82353";"58,82353"
"3";"segment";"78,78788";"85,714286";"89,82684";"87,44589";"89,17749"
"4";"waveform-5000";"33,86774";"33,932136";"36,57315";"46,6";"52,29541"
"5";"phishingData";"78,9783";"81,690778";"84,44846";"84,26763";"84,76492"
"6";"mushroom";"97,84483";"98,523985";"99,01356";"99,19852";"99,13687"
"7";"pima";"71,42857";"68,831169";"68,18182";"75,32468";"67,10526"
"8";"vehicle";"56,47059";"67,857143";"61,76471";"67,85714";"70,2381"
"9";"wilt";"95,76446";"95,661157";"94,6281";"94,6281";"94,6281"
"10";"kr-vs-kp";"68,125";"75,3125";"76,25";"76,09375";"77,65625"
"11";"blood-transfusion-service";"77,02703";"77,027027";"77,02703";"77,33333";"77,02703"
"12";"cnae-9";"61,57407";"68,055556";"67,12963";"68,51852";"68,51852"
"13";"connectionist-mines-vs-rocks";"67,5";"59,52381";"66,66667";"69,04762";"69,04762"
"14";"flare";"42,44604";"35,971223";"39,20863";"43,16547";"42,19858"
"15";"indian-liver-patient";"72,41379";"72,413793";"72,41379";"72,41379";"72,41379"
"16";"leukemia-haslinger";"50";"88,888889";"85";"80";"70"
"17";"mammographic-mass";"80,41237";"83,684211";"83,68421";"84,21053";"83,68421"
"18";"mfeat-karhunen";"38";"48,75";"53,5";"55";"58,75"
"19";"musk";"92,72727";"94,688923";"95,75758";"95,38578";"98,0303"
"20";"ozone-onehr";"97,24409";"97,244094";"97,24409";"97,24409";"97,24409"
"21";"pendigits";"74,93188";"81,119199";"83,74317";"85,10445";"85,68182"
"22";"planning-relax";"72,22222";"72,222222";"72,22222";"72,22222";"72,22222"
"23";"seeds";"61,90476";"95,238095";"92,85714";"95,2381";"95,2381"
"24";"semeion";"26,875";"42,721519";"44,375";"53,16456";"55,625"
"25";"spectf-heart";"75,71429";"74,285714";"79,16667";"74,28571";"82,85714"
"26";"tic-tac-toe";"65,625";"65,625";"65,625";"66,66667";"65,625"
"27";"twonorm";"82,02703";"83,445946";"83,10811";"82,65857";"84,84438"
"28";"hill-valley-with-noise";"57,43802";"56,147541";"54,91803";"59,83607";"58,60656"
"29";"balance-scale";"54,03226";"50";"58,73016";"67,46032";"58,73016"
"30";"car";"70,34884";"70,348837";"70,34884";"70,34884";"70,34884"
