"";"V1";"V2";"V3";"V4";"V5";"V6"
"1";"iris";"75,666666";"73,666668";"81,333333";"80,333332";"80"
"2";"bupa";"57,836136";"57,987397";"57,978992";"58,117648";"57,970589"
"3";"segment";"76,948053";"81,2987";"82,554113";"85,34632";"86,774893"
"4";"waveform-5000";"36,310407";"39,513631";"49,418224";"54,000766";"57,011695"
"5";"phishingData";"79,267761";"80,900294";"82,379232";"83,405786";"83,862466"
"6";"mushroom";"82,412206";"86,927308";"86,416563";"89,149578";"90,189466"
"7";"pima";"66,86261";"66,413193";"67,186432";"66,86432";"67,903282"
"8";"vehicle";"48,167385";"55,446246";"59,571681";"59,139973";"60,510657"
"9";"wilt";"94,616717";"94,596013";"94,606365";"94,596056";"94,606365"
"10";"kr-vs-kp";"63,171238";"68,55383";"71,464586";"73,371276";"73,340467"
"11";"blood-transfusion-service";"74,067568";"76,066667";"76,005406";"75,806305";"76,805405"
"12";"cnae-9";"48,564814";"55,046295";"64,62963";"65,092593";"68,611111"
"13";"connectionist-mines-vs-rocks";"59,158008";"63,948052";"64,186147";"68,892856";"69,701299"
"14";"flare";"29,034391";"29,117248";"31,574779";"32,654755";"31,744637"
"15";"indian-liver-patient";"71,269495";"71,357214";"71,272469";"71,272468";"71,697658"
"16";"leukemia-haslinger";"74,161616";"81,060606";"85,424242";"83,525253";"86,626262"
"17";"mammographic-mass";"77,156958";"77,833512";"76,84608";"77,471054";"77,936025"
"18";"mfeat-karhunen";"64,55";"75,575";"78,55";"80,1";"81,85"
"19";"musk";"91,717369";"93,278414";"94,195415";"94,960957";"95,658053"
"20";"ozone-onehr";"97,102155";"97,121918";"97,082547";"97,121918";"97,121918"
"21";"pendigits";"86,203264";"87,837373";"88,805958";"89,56535";"90,079617"
"22";"planning-relax";"70,672512";"71,461986";"71,461986";"70,116957";"72,002922"
"23";"seeds";"85,714285";"86,428572";"88,57143";"87,380954";"87,619048"
"24";"semeion";"55,042882";"60,790177";"64,705138";"66,446399";"68,48015"
"25";"spectf-heart";"69,80322";"71,76424";"71,093371";"72,673903";"73,506769"
"26";"tic-tac-toe";"65,499999";"65,345395";"65,500549";"65,865681";"66,021929"
"27";"twonorm";"90,358533";"92,006744";"91,939268";"92,033853";"92,060826"
"28";"hill-valley-with-noise";"49,75371";"50,340897";"51,033115";"52,016665";"51,446704"
"29";"balance-scale";"46,323395";"43,276801";"49,268004";"53,13381";"59,780498"
"30";"car";"70,024929";"70,024929";"70,024929";"70,024929";"70,024929"
