"";"V1";"V2";"V3";"V4";"V5";"V6"
"1";"iris";"52,333334";"70,333333";"71";"76,999999";"78"
"2";"bupa";"54,474791";"57,411766";"56,113446";"56,844539";"55,390757"
"3";"segment";"68,398267";"77,445887";"81,038961";"82,878788";"84,307358"
"4";"waveform-5000";"33,119992";"33,580293";"34,778718";"36,499617";"40,271944"
"5";"phishingData";"75,496216";"76,707953";"79,502742";"80,60642";"81,990275"
"6";"mushroom";"77,426032";"80,772499";"78,494939";"79,555529";"79,917883"
"7";"pima";"64,309637";"66,276488";"67,053997";"66,607997";"67,514525"
"8";"vehicle";"43,383414";"53,704225";"55,313833";"58,586032";"59,390063"
"9";"wilt";"94,823269";"94,84393";"94,606327";"94,626988";"94,657979"
"10";"kr-vs-kp";"59,308581";"62,188528";"68,053978";"69,431083";"70,823519"
"11";"blood-transfusion-service";"75,138739";"76,472072";"74,344145";"75,338739";"75,672073"
"12";"cnae-9";"51,064816";"58,611113";"60,324075";"61,666667";"61,296295"
"13";"connectionist-mines-vs-rocks";"57,115799";"56,060607";"59,884199";"63,181818";"61,595238"
"14";"flare";"30,780933";"30,666673";"31,10002";"33,258773";"30,362449"
"15";"indian-liver-patient";"67,87987";"70,495145";"71,357214";"71,1848";"71,357214"
"16";"leukemia-haslinger";"48,989899";"62,848485";"64,580808";"58,171717";"72,626262"
"17";"mammographic-mass";"75,639548";"74,147388";"74,299835";"79,081357";"79,124779"
"18";"mfeat-karhunen";"32,225";"40,625";"47,325";"47,925";"52"
"19";"musk";"88,132197";"88,994732";"92,163904";"93,604401";"93,649592"
"20";"ozone-onehr";"96,963755";"96,884781";"97,02281";"97,062336";"97,04265"
"21";"pendigits";"76,551991";"79,713015";"82,633346";"83,110825";"83,874923"
"22";"planning-relax";"67,646197";"64,239764";"69,269005";"70,906431";"69,79532"
"23";"seeds";"79,523809";"77,619047";"84,047619";"84,285715";"83,333333"
"24";"semeion";"22,289553";"30,552841";"35,834235";"40,174051";"43,660583"
"25";"spectf-heart";"67,539915";"71,742763";"68,475957";"72,465685";"72,343837"
"26";"tic-tac-toe";"64,194954";"63,46355";"65,498683";"64,924121";"65,76239"
"27";"twonorm";"83,053402";"83,324022";"83,851504";"84,418342";"84,405667"
"28";"hill-valley-with-noise";"50,650535";"51,069964";"52,027627";"51,280406";"51,440536"
"29";"balance-scale";"43,590084";"44,96779";"46,997034";"46,733399";"49,756617"
"30";"car";"62,686054";"70,025404";"70,025404";"70,025404";"70,025404"
