"";"V1";"V2";"V3";"V4";"V5";"V6"
"1";"iris";"77,333333";"85,000001";"86";"86,333332";"87,666666"
"2";"bupa";"53,567227";"49,302521";"51,630253";"52,735296";"50,47479"
"3";"segment";"60,151514";"60,930735";"59,220779";"61,623377";"60,800865"
"4";"waveform-5000";"53,870365";"54,860548";"55,78057";"55,780309";"55,700371"
"5";"phishingData";"65,518837";"72,469401";"77,267819";"78,099482";"81,804572"
"6";"mushroom";"91,284869";"91,641549";"91,59859";"91,696961";"91,99854"
"7";"pima";"66,922419";"67,968217";"69,731715";"70,309297";"70,119617"
"8";"vehicle";"39,012055";"38,70063";"38,608057";"40,199516";"38,82708"
"9";"wilt";"94,420306";"94,575352";"94,575373";"94,616674";"94,606342"
"10";"kr-vs-kp";"58,932896";"63,203565";"65,660218";"66,897336";"67,694211"
"11";"blood-transfusion-service";"69,596398";"74,135134";"74,401801";"74,336035";"73,730632"
"12";"cnae-9";"17,824075";"19,166667";"19,166666";"15,925925";"17,268517"
"13";"connectionist-mines-vs-rocks";"58,329005";"59,609307";"58,21645";"60,745671";"58,860389"
"14";"flare";"28,105573";"32,750315";"35,277676";"32,211371";"35,173628"
"15";"indian-liver-patient";"40,731515";"40,900956";"40,890524";"40,631799";"39,43513"
"16";"leukemia-haslinger";"67,131313";"81,060606";"85,217171";"86,217171";"84,762626"
"17";"mammographic-mass";"75,488034";"77,459169";"77,204704";"77,61816";"76,996921"
"18";"mfeat-karhunen";"71,575";"74,3";"74,525";"75,65";"76"
"19";"musk";"70,652902";"66,665442";"70,332927";"72,023288";"72,209871"
"20";"ozone-onehr";"67,995778";"61,459983";"60,788674";"62,30489";"60,62661"
"21";"pendigits";"60,839353";"63,982622";"66,43402";"67,92765";"69,524384"
"22";"planning-relax";"69,269004";"69,809939";"69,8538";"67,923976";"68,157894"
"23";"seeds";"80,238096";"90,476191";"87,857143";"87,619049";"88,095239"
"24";"semeion";"32,375972";"44,200844";"52,042587";"53,921293";"55,842368"
"25";"spectf-heart";"62,756303";"59,800187";"56,635854";"56,186276";"54,610177"
"26";"tic-tac-toe";"64,716885";"65,292543";"65,344626";"65,396708";"65,864923"
"27";"twonorm";"92,161908";"92,094315";"92,121359";"92,195648";"92,175405"
"28";"hill-valley-with-noise";"47,2371";"48,983572";"47,687238";"50,208328";"50,748922"
"29";"balance-scale";"42,725129";"46,272276";"50,419743";"56,427166";"59,904119"
"30";"car";"70,023995";"70,023995";"70,023995";"70,023995";"70,023995"
