"";"V1";"V2";"V3";"V4";"V5";"V6"
"1";"iris";"33,33333";"67";"71,333333";"72,000001";"73,333333"
"2";"bupa";"55,684874";"58,4117644";"57,983195";"57,983195";"57,689077"
"3";"segment";"70,627706";"78,679654";"84,025974";"85,151515";"86,060606"
"4";"waveform-5000";"33,340059";"33,3098999";"33,75072";"36,303325";"35,756287"
"5";"phishingData";"74,885258";"80,0539925";"81,858448";"83,061643";"83,767351"
"6";"mushroom";"95,297958";"97,1996689";"97,864563";"98,215127";"98,430689"
"7";"pima";"63,669682";"63,8516747";"63,786738";"66,664387";"64,776995"
"8";"vehicle";"42,726518";"53,3886183";"57,74228";"61,169015";"62,233524"
"9";"wilt";"94,792315";"94,7923141";"94,606365";"94,606365";"94,606365"
"10";"kr-vs-kp";"64,267811";"67,3499571";"70,788337";"72,951161";"73,857167"
"11";"blood-transfusion-service";"76,138739";"75,0054054";"76,205406";"76,205406";"76,205406"
"12";"cnae-9";"55,277778";"59,6296296";"62,638888";"65,185184";"64,351853"
"13";"connectionist-mines-vs-rocks";"58,716449";"53,154762";"54,345238";"54,764068";"56,1829"
"14";"flare";"31,837991";"27,4592033";"33,45855";"36,901519";"39,014611"
"15";"indian-liver-patient";"69,165513";"71,3584958";"71,358495";"71,358495";"71,358495"
"16";"leukemia-haslinger";"48,989899";"63,4343434";"60,555556";"55,222222";"55,065656"
"17";"mammographic-mass";"69,90053";"76,5096876";"75,57155";"77,735985";"78,413651"
"18";"mfeat-karhunen";"22,75";"41,3";"49,05";"52,025";"54,525"
"19";"musk";"90,649073";"93,5966772";"94,089067";"94,899685";"95,885337"
"20";"ozone-onehr";"97,121771";"97,1217731";"97,121771";"97,121771";"97,121771"
"21";"pendigits";"72,329128";"78,7295466";"81,768321";"83,201091";"84,32938"
"22";"planning-relax";"71,461986";"71,4619882";"71,461986";"71,461986";"71,461986"
"23";"seeds";"42,38095";"82,8571428";"84,047619";"83,571429";"83,333335"
"24";"semeion";"21,43273";"31,7237649";"40,41893";"47,058784";"49,42555"
"25";"spectf-heart";"70,578897";"72,3604107";"73,483425";"72,074694";"73,057888"
"26";"tic-tac-toe";"63,818638";"62,8562297";"65,240776";"65,449121";"64,980371"
"27";"twonorm";"78,96058";"80,7699286";"81,087104";"81,668606";"81,912955"
"28";"hill-valley-with-noise";"50,695317";"51,4829292";"49,789951";"51,974704";"51,924552"
"29";"balance-scale";"44,220304";"46,0043523";"48,302101";"47,974401";"48,200078"
"30";"car";"70,023995";"70,0239923";"70,023995";"70,023995";"70,023995"
