"";"V1";"V2";"V3";"V4";"V5";"V6"
"1";"iris";"63,33333";"66,66667";"73,33333";"73,33333";"63,33333"
"2";"bupa";"57,14286";"55,71429";"51,42857";"57,14286";"54,41176"
"3";"segment";"67,53247";"76,83983";"77,27273";"82,68398";"84,41558"
"4";"waveform-5000";"33,53293";"32,96593";"33,9";"45,70858";"49,9002"
"5";"phishingData";"78,25497";"78,3906";"80,96745";"82,9566";"82,59494"
"6";"mushroom";"75,18473";"80,62731";"82,38916";"86,33005";"85,22167"
"7";"pima";"62,33766";"63,63636";"63,63636";"63,81579";"63,81579"
"8";"vehicle";"33,92857";"48,23529";"54,7619";"46,98795";"55,42169"
"9";"wilt";"94,43299";"94,43299";"94,43299";"94,3299";"94,43299"
"10";"kr-vs-kp";"55,3125";"64,5768";"67,34375";"70,3125";"70,9375"
"11";"blood-transfusion-service";"65,33333";"72,2973";"74";"73,33333";"75,33333"
"12";"cnae-9";"42,12963";"36,11111";"60,64815";"61,57407";"63,42593"
"13";"connectionist-mines-vs-rocks";"50";"54,7619";"57,14286";"60";"66,66667"
"14";"flare";"18,47826";"17,26619";"26,81159";"20,5036";"19,06475"
"15";"indian-liver-patient";"70,68966";"70,68966";"69,49153";"70,33898";"70,68966"
"16";"leukemia-haslinger";"50";"75";"70";"75";"80"
"17";"mammographic-mass";"63,54167";"63,02083";"63,54167";"66,14583";"68,22917"
"18";"mfeat-karhunen";"52,25";"71,75";"73,5";"75,75";"77,5"
"19";"musk";"90,09077";"91,27466";"93,26778";"93,79728";"94,69697"
"20";"ozone-onehr";"96,85039";"96,85039";"96,66667";"96,85039";"96,85039"
"21";"pendigits";"84,94526";"86,79673";"87,25045";"88,43013";"88,83848"
"22";"planning-relax";"63,15789";"68,42105";"68,42105";"60,52632";"68,42105"
"23";"seeds";"71,42857";"76,19048";"76,19048";"78,57143";"73,80952"
"24";"semeion";"47,7707";"56,52174";"60,06289";"59,00621";"65,6051"
"25";"spectf-heart";"64,28571";"65,71429";"62,5";"61,11111";"70"
"26";"tic-tac-toe";"64,58333";"63,02083";"64,0625";"64,21053";"64,58333"
"27";"twonorm";"87,16216";"91,28378";"91,01351";"90,74324";"91,14865"
"28";"hill-valley-with-noise";"44,2623";"44,6281";"46,31148";"49,17355";"46,28099"
"29";"balance-scale";"44,44444";"23,01587";"25,80645";"46,03175";"48,4127"
"30";"car";"69,54023";"69,54023";"69,54023";"69,54023";"69,54023"
