"";"V1";"V2";"V3";"V4";"V5";"V6"
"1";"iris";"33,33333";"53,33333";"56,66667";"60";"66,66667"
"2";"bupa";"41,17647";"51,42857";"48,57143";"50";"44,28571"
"3";"segment";"60,17316";"73,16017";"76,83983";"80,30303";"82,25108"
"4";"waveform-5000";"31,9";"32,73453";"33";"33,8";"33,53293"
"5";"phishingData";"64,46655";"71,0217";"77,89331";"76,08499";"79,74684"
"6";"mushroom";"72,29064";"75,80049";"74,13793";"74,53875";"76,26076"
"7";"pima";"57,23684";"64,93506";"64,93506";"61,68831";"61,68831"
"8";"vehicle";"35,11905";"47,02381";"47,05882";"50,5814";"51,19048"
"9";"wilt";"94,42149";"94,61698";"94,42149";"94,61698";"94,42149"
"10";"kr-vs-kp";"53,28125";"55,48589";"62,06897";"65,46875";"66,40625"
"11";"blood-transfusion-service";"71,33333";"76";"61,33333";"68";"72"
"12";"cnae-9";"45,83333";"53,24074";"54,16667";"54,62963";"56,94444"
"13";"connectionist-mines-vs-rocks";"43,18182";"47,61905";"45,2381";"47,5";"50"
"14";"flare";"24,46043";"24,82014";"28,36879";"27,89855";"23,18841"
"15";"indian-liver-patient";"52,54237";"62,06897";"70,68966";"68,96552";"70,68966"
"16";"leukemia-haslinger";"44,44444";"45";"45";"44,44444";"50"
"17";"mammographic-mass";"53,125";"63,02083";"60,41667";"74,47917";"73,95833"
"18";"mfeat-karhunen";"24,25";"34,25";"43,75";"45,25";"47,25"
"19";"musk";"86,13636";"74,81032";"90,90909";"92,05749";"92,64036"
"20";"ozone-onehr";"96,24506";"95,65217";"96,44269";"96,64032";"96,83794"
"21";"pendigits";"70,77273";"76,81818";"81,32969";"81,77273";"81,86364"
"22";"planning-relax";"55,26316";"44,44444";"60,52632";"66,66667";"61,11111"
"23";"seeds";"64,28571";"57,14286";"66,66667";"76,19048";"73,80952"
"24";"semeion";"18,32298";"22,36025";"28,48101";"32,07547";"39,30818"
"25";"spectf-heart";"52,94118";"66,17647";"62,5";"67,64706";"68,05556"
"26";"tic-tac-toe";"59,375";"56,77083";"63,15789";"61,57895";"64,94845"
"27";"twonorm";"80,37889";"81,21622";"82,02703";"81,59675";"83,19838"
"28";"hill-valley-with-noise";"45,41667";"48,77049";"44,67213";"41,73554";"43,38843"
"29";"balance-scale";"33,33333";"35,71429";"27,04918";"41,93548";"45,96774"
"30";"car";"22,22222";"69,54023";"69,54023";"69,54023";"69,54023"
