"";"V1";"V2";"V3";"V4";"V5";"V6"
"1";"iris";"66,66667";"66,66667";"76,66667";"76,66667";"76,66667"
"2";"bupa";"39,70588";"35,71429";"35,71429";"41,17647";"37,14286"
"3";"segment";"53,0303";"56,06061";"53,4632";"58,00866";"53,4632"
"4";"waveform-5000";"51,0978";"51,9";"53,19361";"53,89222";"53,5"
"5";"phishingData";"61,12116";"68,7613";"73,43891";"74,75113";"80,15371"
"6";"mushroom";"89,23739";"89,5936";"90,39409";"90,57882";"90,57882"
"7";"pima";"58,44156";"58,44156";"61,03896";"64,93506";"59,09091"
"8";"vehicle";"30,58824";"34,70588";"31,76471";"35,71429";"32,35294"
"9";"wilt";"93,59504";"94,42149";"94,3299";"94,43299";"94,31818"
"10";"kr-vs-kp";"50,31348";"56,26959";"60,3125";"60,18809";"63,32288"
"11";"blood-transfusion-service";"58,66667";"66,66667";"69,33333";"69,33333";"71,33333"
"12";"cnae-9";"12,5";"11,57407";"13,42593";"11,11111";"11,11111"
"13";"connectionist-mines-vs-rocks";"45";"50";"45,2381";"47,5";"47,61905"
"14";"flare";"18,34532";"17,14286";"28,92857";"13,57143";"31,42857"
"15";"indian-liver-patient";"37,28814";"36,2069";"36,84211";"35,08772";"35,08772"
"16";"leukemia-haslinger";"50";"65";"70";"65";"65"
"17";"mammographic-mass";"70,83333";"74,21053";"72,91667";"72,91667";"75"
"18";"mfeat-karhunen";"66,75";"70,25";"68,5";"71,5";"71,5"
"19";"musk";"55";"58,93939";"64,24242";"66,49017";"64,84848"
"20";"ozone-onehr";"48,03922";"57,2549";"56,29921";"58,82353";"55,11811"
"21";"pendigits";"53,86715";"62,0784";"65,07286";"66,36364";"67,31641"
"22";"planning-relax";"63,15789";"65,78947";"60,52632";"60,52632";"60,52632"
"23";"seeds";"52,38095";"71,42857";"73,80952";"71,42857";"73,80952"
"24";"semeion";"16,98113";"36,16352";"44,96855";"45,3125";"49,6875"
"25";"spectf-heart";"57,14286";"45,71429";"40";"40";"41,42857"
"26";"tic-tac-toe";"62,63158";"64,58333";"64,58333";"64,58333";"65,26316"
"27";"twonorm";"91,00135";"90,79838";"90,79838";"90,86604";"90,93369"
"28";"hill-valley-with-noise";"42,62295";"41,80328";"44,2623";"44,6281";"45,90164"
"29";"balance-scale";"26,6129";"26,98413";"46,03175";"46,77419";"47,61905"
"30";"car";"69,54023";"69,54023";"69,54023";"69,54023";"69,54023"
