"";"V1";"V2";"V3";"V4";"V5";"V6"
"1";"iris";"33,33333";"56,666667";"63,33333";"63,33333";"63,33333"
"2";"bupa";"50";"57,142857";"57,14286";"57,14286";"55,88235"
"3";"segment";"62,98701";"72,510823";"79,43723";"82,68398";"80,73593"
"4";"waveform-5000";"32,93413";"33,033932";"32,93413";"33";"33"
"5";"phishingData";"66,59132";"77,285068";"79,86425";"81,34058";"82,74457"
"6";"mushroom";"93,10345";"95,012315";"96,74047";"96,67488";"97,90898"
"7";"pima";"50";"50";"50";"62,98701";"61,18421"
"8";"vehicle";"26,47059";"38,823529";"52,35294";"55,29412";"55,29412"
"9";"wilt";"94,43299";"94,43299";"94,43299";"94,43299";"94,43299"
"10";"kr-vs-kp";"55,9375";"62,34375";"66,98113";"69,0625";"69,375"
"11";"blood-transfusion-service";"75,33333";"69,333333";"76";"74,66667";"76"
"12";"cnae-9";"48,61111";"48,148148";"54,62963";"61,11111";"58,7963"
"13";"connectionist-mines-vs-rocks";"52,38095";"50";"47,61905";"50";"45"
"14";"flare";"23,18841";"9,782609";"28,05755";"26,47059";"35,14493"
"15";"indian-liver-patient";"50";"70,689655";"70,68966";"70,68966";"70,68966"
"16";"leukemia-haslinger";"44,44444";"45,454545";"50";"50";"50"
"17";"mammographic-mass";"53,60825";"65,463918";"53,60825";"74,47917";"75,7732"
"18";"mfeat-karhunen";"10,75";"32,5";"45,75";"44,25";"48,25"
"19";"musk";"88,80484";"92,878788";"92,95455";"94,38543";"94,85628"
"20";"ozone-onehr";"96,85039";"96,850394";"96,85039";"96,85039";"96,85039"
"21";"pendigits";"69,47225";"76,958106";"79,64481";"81,54545";"83,37887"
"22";"planning-relax";"68,42105";"68,421053";"68,42105";"68,42105";"68,42105"
"23";"seeds";"33,33333";"69,047619";"76,19048";"76,19048";"69,04762"
"24";"semeion";"17,72152";"19,6875";"36,875";"42,1875";"44,93671"
"25";"spectf-heart";"50";"67,142857";"71,42857";"64,28571";"67,64706"
"26";"tic-tac-toe";"50";"51,5625";"64,43299";"64,94845";"61,97917"
"27";"twonorm";"63,78378";"78,078484";"77,80785";"80,24357";"80,40541"
"28";"hill-valley-with-noise";"47,5";"45,901639";"43,03279";"42,91667";"45,83333"
"29";"balance-scale";"32,25806";"40,47619";"44,35484";"38,70968";"40,83333"
"30";"car";"69,54023";"69,54023";"69,54023";"69,54023";"69,54023"
