"";"V1";"V2";"V3";"V4";"V5";"V6"
"1";"iris";"96,66667";"83,33333";"93,33333";"90";"93,33333"
"2";"bupa";"60";"57,14286";"60";"62,85714";"64,70588"
"3";"segment";"79,43723";"84,19913";"87,01299";"89,17749";"88,52814"
"4";"waveform-5000";"46,99399";"53,30661";"56,41283";"57,51503";"60,62124"
"5";"phishingData";"82,57919";"82,17195";"83,71041";"84,61538";"85,15837"
"6";"mushroom";"87,88438";"91,51292";"91,63592";"91,57442";"91,38991"
"7";"pima";"68,18182";"70,77922";"68,83117";"70,12987";"69,73684"
"8";"vehicle";"62,5";"59,41176";"68,82353";"67,05882";"66,47059"
"9";"wilt";"94,7314";"94,6281";"94,6281";"94,83471";"94,83471"
"10";"kr-vs-kp";"67,96875";"72,03125";"72,34375";"75,78125";"76,875"
"11";"blood-transfusion-service";"77,7027";"78,66667";"77,33333";"78";"77,02703"
"12";"cnae-9";"44,44444";"60,64815";"62,5";"63,88889";"67,12963"
"13";"connectionist-mines-vs-rocks";"64,28571";"72,5";"70";"73,80952";"85,71429"
"14";"flare";"38,84892";"47,84173";"43,16547";"43,16547";"45,68345"
"15";"indian-liver-patient";"71,92982";"72,41379";"72,41379";"72,41379";"73,72881"
"16";"leukemia-haslinger";"90";"95";"90";"90";"100"
"17";"mammographic-mass";"81,77083";"84,375";"83,33333";"80,72917";"81,77083"
"18";"mfeat-karhunen";"72,5";"81";"82,75";"86,25";"85,25"
"19";"musk";"93,34342";"94,84848";"96,20637";"95,90909";"96,74242"
"20";"ozone-onehr";"97,24409";"97,24409";"97,24409";"97,43083";"97,24409"
"21";"pendigits";"88,39854";"88,55971";"89,74592";"90,62784";"91,44677"
"22";"planning-relax";"75";"75";"72,22222";"75";"72,22222"
"23";"seeds";"92,85714";"92,85714";"97,61905";"97,61905";"97,61905"
"24";"semeion";"61,63522";"65,625";"67,61006";"69,375";"71,875"
"25";"spectf-heart";"75";"77,94118";"75";"79,41176";"82,35294"
"26";"tic-tac-toe";"66,14583";"65,625";"66,66667";"66,14583";"68,22917"
"27";"twonorm";"92,8475";"92,97297";"92,89581";"92,76049";"92,76049"
"28";"hill-valley-with-noise";"61,15702";"56,19835";"54,5082";"55,78512";"58,67769"
"29";"balance-scale";"50";"59,67742";"64,28571";"66,66667";"65,32258"
"30";"car";"70,34884";"70,34884";"70,34884";"70,34884";"70,34884"
