"";"V1";"V2";"V3";"V4";"V5";"V6"
"1";"iris";"66,66667";"90";"86,66667";"86,66667";"90"
"2";"bupa";"58,82353";"64,28571";"60";"58,82353";"61,76471"
"3";"segment";"77,05628";"84,41558";"86,58009";"87,22944";"87,44589"
"4";"waveform-5000";"34,86974";"33,86774";"34,73054";"34,86974";"38,47695"
"5";"phishingData";"80,58824";"80,22624";"81,19349";"81,61232";"84,76492"
"6";"mushroom";"89,96305";"91,14391";"90,93711";"90,4059";"90,38224"
"7";"pima";"70,77922";"72,72727";"74,02597";"75";"75,32468"
"8";"vehicle";"53,57143";"58,82353";"62,94118";"64,28571";"65,47619"
"9";"wilt";"95,45455";"95,76446";"94,7314";"95,24793";"94,83471"
"10";"kr-vs-kp";"68,4375";"66,875";"73,125";"71,71875";"74,0625"
"11";"blood-transfusion-service";"77,02703";"77,33333";"78";"77,7027";"76"
"12";"cnae-9";"41,2037";"57,40741";"59,25926";"62,5";"66,2037"
"13";"connectionist-mines-vs-rocks";"66,66667";"62,5";"73,80952";"70";"78,57143"
"14";"flare";"32,73381";"33,09353";"32,73381";"32,24638";"32,01439"
"15";"indian-liver-patient";"71,92982";"71,18644";"71,92982";"74,57627";"72,0339"
"16";"leukemia-haslinger";"50";"85";"80";"80";"100"
"17";"mammographic-mass";"84,89583";"84,375";"84,89583";"83,85417";"84,375"
"18";"mfeat-karhunen";"36";"40,25";"46,75";"48,5";"51"
"19";"musk";"89,92424";"92,261";"93,33333";"94,77273";"95,2959"
"20";"ozone-onehr";"97,24409";"97,24409";"97,24409";"97,24409";"97,43083"
"21";"pendigits";"79,79982";"81,43767";"82,93904";"84,59435";"85,27273"
"22";"planning-relax";"72,22222";"72,22222";"75";"72,22222";"72,22222"
"23";"seeds";"88,09524";"85,71429";"95,2381";"100";"97,61905"
"24";"semeion";"29,93827";"37,97468";"43,39623";"46,54088";"53,14465"
"25";"spectf-heart";"73,52941";"76,47059";"79,16667";"79,16667";"79,41176"
"26";"tic-tac-toe";"65,625";"67,1875";"67,70833";"67,89474";"67,70833"
"27";"twonorm";"84,88529";"86,01351";"84,66216";"85,89744";"85,94595"
"28";"hill-valley-with-noise";"60,41667";"52,47934";"60,41667";"56,55738";"57,02479"
"29";"balance-scale";"53,96825";"46,8254";"62,29508";"65,07937";"66,66667"
"30";"car";"70,34884";"70,34884";"70,34884";"70,34884";"70,34884"
