"";"V1";"V2";"V3";"V4";"V5";"V6"
"1";"iris";"86,66667";"90";"90";"90";"93,33333"
"2";"bupa";"57,14286";"55,88235";"60,29412";"64,28571";"57,35294"
"3";"segment";"65,80087";"64,71861";"68,61472";"66,45022";"65,58442"
"4";"waveform-5000";"56,51303";"57,41483";"58,91784";"58,6";"57,91583"
"5";"phishingData";"72,42315";"78,32579";"81,05787";"81,73599";"82,85068"
"6";"mushroom";"92,41677";"93,03329";"92,97164";"93,64982";"93,52651"
"7";"pima";"74,34211";"72,36842";"76,31579";"76,31579";"81,57895"
"8";"vehicle";"44,18605";"41,86047";"43,02326";"47,64706";"50"
"9";"wilt";"94,6281";"94,6281";"94,6281";"94,6281";"94,93802"
"10";"kr-vs-kp";"63,94984";"65,72327";"67,03125";"69,33962";"71,25"
"11";"blood-transfusion-service";"78,66667";"77,33333";"80,40541";"79,05405";"80,40541"
"12";"cnae-9";"27,31481";"27,77778";"27,77778";"30,09259";"25"
"13";"connectionist-mines-vs-rocks";"72,5";"72,5";"69,04762";"76,19048";"72,5"
"14";"flare";"41,9708";"46,35036";"51,44928";"42,3913";"42,02899"
"15";"indian-liver-patient";"50,86207";"49,13793";"48,27586";"47,41379";"52,58621"
"16";"leukemia-haslinger";"90";"90";"90";"95";"95"
"17";"mammographic-mass";"82,47423";"81,4433";"82,98969";"80,92784";"81,4433"
"18";"mfeat-karhunen";"76,25";"77,75";"78,25";"80,25";"80,25"
"19";"musk";"76,89394";"79,77273";"76,77761";"76,85888";"77,01062"
"20";"ozone-onehr";"69,88189";"69,60784";"66,99605";"66,66667";"64,62451"
"21";"pendigits";"66,2865";"67,5884";"69,01729";"70,66303";"72,20708"
"22";"planning-relax";"75";"72,22222";"72,22222";"75";"75"
"23";"seeds";"97,61905";"92,85714";"95,2381";"97,61905";"95,2381"
"24";"semeion";"38,29114";"50";"58,125";"57,27848";"60,3125"
"25";"spectf-heart";"77,14286";"68,57143";"74,28571";"62,85714";"67,14286"
"26";"tic-tac-toe";"65,625";"65,625";"65,625";"65,78947";"66,14583"
"27";"twonorm";"92,63514";"92,69283";"92,82815";"92,76049";"92,83784"
"28";"hill-valley-with-noise";"55";"55,41667";"55,83333";"55,83333";"55,83333"
"29";"balance-scale";"52,38095";"61,90476";"69,35484";"70,63492";"73,3871"
"30";"car";"70,34884";"70,34884";"70,34884";"70,34884";"70,34884"
