"";"V1";"V2";"V3";"V4";"V5";"V6"
"1";"iris";"33,33333";"90";"83,33333";"93,33333";"93,33333"
"2";"bupa";"58,82353";"58,82353";"58,82353";"58,82353";"58,82353"
"3";"segment";"81,38528";"87,44589";"87,44589";"90,25974";"88,96104"
"4";"waveform-5000";"43,71257";"47,89579";"47";"53,1";"50,9018"
"5";"phishingData";"79,65642";"81,20471";"83,40868";"85,39783";"85,30741"
"6";"mushroom";"97,47537";"98,58374";"98,52399";"98,70849";"98,64699"
"7";"pima";"67,53247";"70,39474";"66,88312";"68,18182";"74,67532"
"8";"vehicle";"53,52941";"60,71429";"65,47619";"66,66667";"69,76744"
"9";"wilt";"95,55785";"96,17769";"95,75569";"94,6281";"94,6281"
"10";"kr-vs-kp";"69,84375";"74,53125";"72,96875";"76,95925";"79,62382"
"11";"blood-transfusion-service";"77,02703";"78,66667";"77,02703";"77,02703";"77,02703"
"12";"cnae-9";"46,2963";"53,7037";"57,40741";"60,64815";"67,12963"
"13";"connectionist-mines-vs-rocks";"75";"59,52381";"57,14286";"69,04762";"59,52381"
"14";"flare";"40,78014";"41,72662";"43,21429";"44,52555";"44,96403"
"15";"indian-liver-patient";"72,41379";"72,41379";"72,41379";"72,41379";"72,41379"
"16";"leukemia-haslinger";"50";"80";"75";"77,77778";"90"
"17";"mammographic-mass";"85,26316";"86,31579";"84,73684";"86,31579";"87,36842"
"18";"mfeat-karhunen";"35,5";"48,25";"54,75";"54,5";"59"
"19";"musk";"91,98185";"95,45455";"95,83333";"96,21212";"96,74242"
"20";"ozone-onehr";"97,24409";"97,24409";"97,24409";"97,24409";"97,24409"
"21";"pendigits";"77,09091";"81,102";"83,98544";"85";"86,01272"
"22";"planning-relax";"72,22222";"72,22222";"72,22222";"72,22222";"72,22222"
"23";"seeds";"69,04762";"92,85714";"90,47619";"90,47619";"92,85714"
"24";"semeion";"34,0625";"42,5";"49,36306";"50,31847";"54,375"
"25";"spectf-heart";"74,28571";"79,41176";"74,28571";"77,14286";"83,82353"
"26";"tic-tac-toe";"65,625";"65,625";"67,1875";"65,97938";"65,625"
"27";"twonorm";"82,22973";"82,97297";"83,01759";"82,97297";"82,99595"
"28";"hill-valley-with-noise";"55,3719";"54,58333";"61,47541";"59,01639";"59,50413"
"29";"balance-scale";"52,38095";"50,80645";"57,14286";"57,25806";"54,7619"
"30";"car";"70,34884";"70,34884";"70,34884";"70,34884";"70,34884"
