"";"V1";"V2";"V3";"V4";"V5";"V6"
"1";"iris";"76,999999";"74,333334";"77,666666";"78,333332";"77,666667"
"2";"bupa";"53,911765";"53,466386";"51,773109";"53,999999";"56,369748"
"3";"segment";"73,549782";"80,584415";"84,30736";"85,38961";"86,645024"
"4";"waveform-5000";"36,802491";"44,498664";"50,227788";"54,980015";"55,769319"
"5";"phishingData";"79,588783";"80,741918";"82,722935";"83,433085";"84,260483"
"6";"mushroom";"80,120004";"86,636887";"89,265655";"90,029126";"90,885113"
"7";"pima";"66,212407";"67,192414";"66,995045";"67,258203";"67,903282"
"8";"vehicle";"50,730392";"53,835434";"58,457284";"60,406161";"61,173669"
"9";"wilt";"94,616695";"94,606365";"94,606365";"94,616717";"94,637355"
"10";"kr-vs-kp";"64,329569";"68,584968";"70,63577";"72,965167";"74,655365"
"11";"blood-transfusion-service";"75,402702";"75,336037";"76,068469";"76,070271";"75,936938"
"12";"cnae-9";"37,314815";"52,5";"53,101853";"58,194444";"61,944444"
"13";"connectionist-mines-vs-rocks";"57,904761";"61,809524";"59,869049";"66,595237";"72,857144"
"14";"flare";"35,205502";"37,472032";"37,478925";"38,804123";"39,458863"
"15";"indian-liver-patient";"69,403448";"71,098312";"70,850021";"71,177059";"71,175751"
"16";"leukemia-haslinger";"69,505051";"79,626262";"82,570707";"78,914142";"84,525253"
"17";"mammographic-mass";"74,921092";"78,241494";"77,262673";"77,053265";"77,621875"
"18";"mfeat-karhunen";"65,65";"76,5";"78,325";"80,575";"81,775"
"19";"musk";"91,921342";"93,626624";"94,362002";"95,233501";"95,468339"
"20";"ozone-onehr";"96,864854";"97,082401";"97,102008";"97,121849";"97,121771"
"21";"pendigits";"85,648777";"87,75954";"88,823618";"89,410324";"90,033471"
"22";"planning-relax";"72,017542";"70,073097";"71,461986";"70,906431";"70,906431"
"23";"seeds";"83,095238";"84,285714";"88,571429";"87,857143";"88,09524"
"24";"semeion";"53,083871";"61,242333";"63,257381";"66,191485";"69,210734"
"25";"spectf-heart";"68,921335";"70,072595";"70,236227";"71,116013";"72,794118"
"26";"tic-tac-toe";"65,084756";"64,562246";"65,240986";"65,396172";"66,390701"
"27";"twonorm";"91,114793";"91,939426";"92,007014";"91,993453";"91,953004"
"28";"hill-valley-with-noise";"48,963442";"53,050429";"48,962411";"49,872268";"52,368588"
"29";"balance-scale";"47,03405";"53,428059";"56,236559";"57,401434";"59,371479"
"30";"car";"70,024462";"70,024462";"70,024462";"70,024462";"70,024462"
