"";"V1";"V2";"V3";"V4";"V5";"V6"
"1";"iris";"46,666667";"72,666668";"75,666669";"77,666665";"81,666666"
"2";"bupa";"53,054622";"56,932774";"52,852942";"53,20168";"56,2437"
"3";"segment";"70,519482";"78,398269";"81,688311";"83,766232";"84,545453"
"4";"waveform-5000";"33,740154";"33,560113";"33,899895";"34,070193";"35,520058"
"5";"phishingData";"74,00847";"77,965393";"78,2036";"80,33065";"82,483305"
"6";"mushroom";"79,044917";"80,475412";"81,184099";"79,129002";"81,487738"
"7";"pima";"66,210696";"65,830483";"67,383798";"66,551605";"66,98223"
"8";"vehicle";"47,873249";"51,420867";"58,036414";"57,984592";"60,818626"
"9";"wilt";"94,688972";"94,719984";"94,616657";"94,66831";"94,647648"
"10";"kr-vs-kp";"58,430251";"63,515723";"66,362412";"67,693428";"70,102273"
"11";"blood-transfusion-service";"75,86937";"74,664865";"75,270271";"73,672973";"75,127928"
"12";"cnae-9";"30,277778";"46,203704";"48,935187";"56,157407";"61,342591"
"13";"connectionist-mines-vs-rocks";"53,65368";"55,98052";"58,114718";"63,142857";"64,389611"
"14";"flare";"29,013031";"29,516655";"29,410291";"29,339652";"29,484058"
"15";"indian-liver-patient";"66,608168";"69,702134";"71,272057";"71,260163";"71,444522"
"16";"leukemia-haslinger";"48,989899";"66,378788";"64,722222";"62,863636";"71,939394"
"17";"mammographic-mass";"76,178728";"77,519449";"78,091291";"78,613211";"78,50797"
"18";"mfeat-karhunen";"28";"34,725";"42,325";"43,85";"48,4"
"19";"musk";"87,995753";"90,997385";"92,414731";"93,217705";"93,779"
"20";"ozone-onehr";"97,121771";"96,827187";"97,003505";"97,00366";"96,885316"
"21";"pendigits";"76,246625";"79,707898";"81,736799";"83,129023";"84,201988"
"22";"planning-relax";"70,087717";"64,722221";"71,739764";"71,184208";"71,184208"
"23";"seeds";"69,047619";"81,190477";"81,428572";"85";"80,714286"
"24";"semeion";"23,880782";"31,807166";"35,083578";"41,452572";"45,265027"
"25";"spectf-heart";"71,040615";"70,510504";"72,616482";"71,976424";"72,236926"
"26";"tic-tac-toe";"61,492608";"64,875808";"65,292565";"64,569361";"65,49923"
"27";"twonorm";"83,364842";"83,486583";"83,7699";"83,79031";"85,121611"
"28";"hill-valley-with-noise";"52,075062";"48,714528";"50,548171";"48,510031";"51,7714"
"29";"balance-scale";"46,231229";"44,482638";"47,96146";"51,345408";"54,221667"
"30";"car";"70,023995";"70,023995";"70,023995";"70,023995";"70,023995"
