"";"V1";"V2";"V3";"V4";"V5";"V6"
"1";"iris";"75,333334";"82,666666";"84,000001";"84,333334";"86,666666"
"2";"bupa";"49,411764";"52,340336";"52,327732";"51,415965";"49,441176"
"3";"segment";"59,458875";"61,536795";"62,987012";"63,008658";"62,987012"
"4";"waveform-5000";"54,059642";"54,751599";"55,631882";"56,021421";"55,881061"
"5";"phishingData";"67,349308";"74,983511";"78,054691";"79,660574";"79,809521"
"6";"mushroom";"91,088613";"91,500786";"91,863792";"91,907108";"92,067046"
"7";"pima";"66,28674";"67,649523";"68,493677";"69,663363";"70,517772"
"8";"vehicle";"37,860481";"38,527783";"38,155969";"39,062815";"41,707804"
"9";"wilt";"94,399902";"94,575372";"94,565021";"94,596034";"94,637399"
"10";"kr-vs-kp";"60,638586";"63,972111";"65,284559";"66,787851";"68,148943"
"11";"blood-transfusion-service";"71,595495";"74,735135";"74,407208";"72,87027";"73,743244"
"12";"cnae-9";"16,944443";"18,240741";"18,75";"18,703703";"16,805555"
"13";"connectionist-mines-vs-rocks";"56,797619";"55,392857";"56,214285";"63,464286";"58,749999"
"14";"flare";"32,539878";"37,518315";"37,706794";"36,332093";"36,2905"
"15";"indian-liver-patient";"41,340399";"41,761203";"40,992751";"41,327249";"41,94541"
"16";"leukemia-haslinger";"65,939394";"84,858586";"79,338384";"84,257576";"84,747475"
"17";"mammographic-mass";"76,215822";"76,848944";"77,14624";"77,106127";"77,628079"
"18";"mfeat-karhunen";"72,15";"73,2";"74,5";"75,325";"76,225"
"19";"musk";"66,489347";"73,484573";"69,687498";"72,084089";"73,196153"
"20";"ozone-onehr";"64,092599";"60,309964";"61,950341";"61,116885";"60,727223"
"21";"pendigits";"63,645997";"65,328187";"67,170912";"68,953638";"69,527267"
"22";"planning-relax";"68,421051";"64,590643";"69,269004";"69,795319";"66,827484"
"23";"seeds";"84,761906";"87,619047";"88,333334";"88,095239";"88,333334"
"24";"semeion";"30,197857";"39,35932";"45,414791";"52,609095";"54,605877"
"25";"spectf-heart";"63,594305";"56,983194";"56,693276";"55,836367";"56,558823"
"26";"tic-tac-toe";"65,032126";"65,239363";"65,344626";"65,397257";"65,500874"
"27";"twonorm";"92,054197";"92,175818";"92,155566";"92,216369";"92,229873"
"28";"hill-valley-with-noise";"50,822353";"49,835406";"50,701147";"51,077892";"49,848394"
"29";"balance-scale";"47,59076";"56,149764";"60,008143";"66,481979";"67,379527"
"30";"car";"70,023995";"70,023995";"70,023995";"70,023995";"70,023995"
