"";"V1";"V2";"V3";"V4";"V5";"V6"
"1";"iris";"33,33333";"74,999999";"72,333331";"78,333333";"72,333334"
"2";"bupa";"57,100842";"56,386556";"56,815127";"57,247901";"56,680674"
"3";"segment";"74,65368";"82,683983";"83,549782";"84,610389";"85,887446"
"4";"waveform-5000";"34,217802";"36,82123";"36,117786";"40,734808";"41,296161"
"5";"phishingData";"75,03727";"78,856608";"82,076332";"82,998893";"83,830747"
"6";"mushroom";"96,042778";"97,458078";"97,839685";"98,301272";"98,325918"
"7";"pima";"56,384996";"64,465992";"65,170879";"65,693777";"65,947536"
"8";"vehicle";"45,899961";"54,06377";"57,569969";"59,647151";"62,112979"
"9";"wilt";"94,69934";"95,153693";"94,79255";"94,606365";"94,606365"
"10";"kr-vs-kp";"62,233321";"66,081529";"68,661222";"73,37495";"73,877304"
"11";"blood-transfusion-service";"76,205406";"75,93874";"76,205406";"76,205406";"76,138739"
"12";"cnae-9";"37,916667";"48,379629";"50,833334";"56,111112";"61,018518"
"13";"connectionist-mines-vs-rocks";"56,778137";"50,371211";"52,666666";"56,980519";"53,687229"
"14";"flare";"32,299194";"33,026656";"38,037393";"39,600213";"42,981993"
"15";"indian-liver-patient";"71,358495";"71,358495";"71,358495";"71,358495";"71,358495"
"16";"leukemia-haslinger";"48,989899";"66,141414";"57,5";"65,550505";"60,5"
"17";"mammographic-mass";"75,497812";"76,353901";"76,709357";"77,141136";"79,517103"
"18";"mfeat-karhunen";"32,775";"43,875";"47,525";"50,925";"52,975"
"19";"musk";"90,731419";"93,497778";"94,10416";"95,142075";"95,748595"
"20";"ozone-onehr";"97,121771";"97,121771";"97,121771";"97,121771";"97,121771"
"21";"pendigits";"73,772697";"78,788501";"81,982248";"83,511198";"84,301607"
"22";"planning-relax";"71,461986";"69,619881";"70,906431";"71,461986";"71,461986"
"23";"seeds";"42,619046";"81,428571";"82,857144";"85,476193";"83,333333"
"24";"semeion";"30,004237";"37,188678";"43,234364";"45,742201";"50,304998"
"25";"spectf-heart";"71,78898";"73,666898";"72,217552";"73,074695";"73,389821"
"26";"tic-tac-toe";"65,344626";"64,976205";"65,188376";"65,447719";"65,344626"
"27";"twonorm";"79,999831";"81,04678";"81,358449";"80,797656";"81,547112"
"28";"hill-valley-with-noise";"50,49625";"49,426628";"53,044997";"51,520431";"52,716423"
"29";"balance-scale";"47,118327";"44,943174";"47,828773";"48,955243";"48,946366"
"30";"car";"70,023995";"70,023995";"70,023995";"70,023995";"70,023995"
