"";"V1";"V2";"V3";"V4";"V5";"V6"
"1";"iris";"53,33333";"66,66667";"70";"63,33333";"66,66667"
"2";"bupa";"47,05882";"48,52941";"37,14286";"39,70588";"48,52941"
"3";"segment";"69,48052";"75,54113";"81,81818";"82,68398";"84,63203"
"4";"waveform-5000";"32,96593";"33";"33,3";"49,4012";"48,29659"
"5";"phishingData";"78,02893";"79,29476";"81,60036";"82,32369";"82,98643"
"6";"mushroom";"77,3399";"81,21921";"85,46798";"86,18989";"89,5449"
"7";"pima";"61,68831";"64,93506";"64,28571";"62,98701";"65,58442"
"8";"vehicle";"39,41176";"44,04762";"50,58824";"57,05882";"52,35294"
"9";"wilt";"94,43299";"94,43299";"94,43299";"94,3299";"94,43299"
"10";"kr-vs-kp";"60,78125";"66,71875";"68,02508";"67,96875";"72,1875"
"11";"blood-transfusion-service";"73,33333";"71,33333";"75,33333";"72,66667";"74,66667"
"12";"cnae-9";"25,46296";"42,12963";"39,35185";"53,24074";"55,55556"
"13";"connectionist-mines-vs-rocks";"52,38095";"50";"47,61905";"59,52381";"66,66667"
"14";"flare";"31,42857";"30,43478";"30,49645";"34,78261";"33,45324"
"15";"indian-liver-patient";"64,40678";"69,49153";"68,64407";"69,29825";"67,24138"
"16";"leukemia-haslinger";"55";"45";"65";"65";"65"
"17";"mammographic-mass";"69,27083";"73,4375";"72,16495";"72,16495";"72,63158"
"18";"mfeat-karhunen";"60";"71,5";"73";"76,75";"76,25"
"19";"musk";"89,39394";"92,48862";"92,71624";"94,01515";"93,63636"
"20";"ozone-onehr";"94,66403";"96,85039";"96,85039";"96,65354";"96,85039"
"21";"pendigits";"83,1814";"86,60309";"87,56831";"88,42297";"88,75228"
"22";"planning-relax";"68,42105";"63,88889";"68,42105";"63,88889";"66,66667"
"23";"seeds";"73,80952";"73,80952";"78,57143";"80,95238";"80,95238"
"24";"semeion";"43,4375";"56,5625";"57,8125";"63,69427";"65,9375"
"25";"spectf-heart";"62,5";"58,82353";"65,27778";"60";"58,57143"
"26";"tic-tac-toe";"63,02083";"62,63158";"63,54167";"64,58333";"64,58333"
"27";"twonorm";"89,33873";"90,2834";"90,0135";"90,2834";"90,0135"
"28";"hill-valley-with-noise";"41,66667";"50,40984";"38,93443";"44,21488";"42,21311"
"29";"balance-scale";"45,96774";"47,58065";"46,03175";"46,77419";"52,38095"
"30";"car";"69,54023";"69,54023";"69,54023";"69,54023";"69,54023"
