"";"V1";"V2";"V3";"V4";"V5";"V6"
"1";"iris";"33,33333";"50";"66,66667";"70";"73,33333"
"2";"bupa";"42,85714";"48,52941";"42,64706";"44,28571";"45,58824"
"3";"segment";"61,68831";"74,89177";"77,48918";"79,87013";"82,25108"
"4";"waveform-5000";"33,1";"33,03393";"33,5";"33,46693";"33,9"
"5";"phishingData";"67,13382";"74,54792";"72,66968";"77,71248";"78,48101"
"6";"mushroom";"73,43173";"76,56827";"75,46125";"76,07626";"75,58426"
"7";"pima";"63,63636";"60,38961";"61,68831";"61,68831";"56,57895"
"8";"vehicle";"41,76471";"45,88235";"50";"47,64706";"58,23529"
"9";"wilt";"94,42149";"94,42149";"94,42149";"94,42149";"94,52479"
"10";"kr-vs-kp";"52,66458";"57,8125";"59,24765";"61,28527";"66,61442"
"11";"blood-transfusion-service";"74";"70,66667";"68";"67,33333";"72,2973"
"12";"cnae-9";"21,2963";"41,66667";"40,27778";"39,81481";"50,92593"
"13";"connectionist-mines-vs-rocks";"40,47619";"47,5";"47,61905";"50";"52,38095"
"14";"flare";"28,05755";"28,05755";"28,41727";"28,26087";"28,05755"
"15";"indian-liver-patient";"48,30508";"64,03509";"70,68966";"67,54386";"70,68966"
"16";"leukemia-haslinger";"44,44444";"45";"50";"50";"60"
"17";"mammographic-mass";"65,10417";"67,1875";"66,14583";"68,22917";"67,1875"
"18";"mfeat-karhunen";"16,25";"26";"38";"37,5";"45,75"
"19";"musk";"84,97724";"89,92424";"91,28788";"91,51515";"92,5"
"20";"ozone-onehr";"96,85039";"94,5098";"96,06299";"96,65354";"96,45669"
"21";"pendigits";"73,5";"77,90909";"79,48135";"81,54545";"83,18182"
"22";"planning-relax";"63,88889";"44,73684";"68,42105";"68,42105";"68,42105"
"23";"seeds";"50";"73,80952";"71,42857";"69,04762";"66,66667"
"24";"semeion";"21,73913";"26,58228";"24,5283";"35,49383";"35,75949"
"25";"spectf-heart";"63,23529";"62,85714";"68,05556";"64,28571";"67,64706"
"26";"tic-tac-toe";"53,64583";"61,85567";"63,54167";"58,33333";"63,15789"
"27";"twonorm";"80,5668";"81,17409";"82,13802";"81,35135";"83,78378"
"28";"hill-valley-with-noise";"46,69421";"43,80165";"42,56198";"42,56198";"47,08333"
"29";"balance-scale";"36,29032";"40,47619";"38,09524";"44,44444";"46,03175"
"30";"car";"69,54023";"69,54023";"69,54023";"69,54023";"69,54023"
