"";"V1";"V2";"V3";"V4";"V5";"V6"
"1";"iris";"53,33333";"70";"73,33333";"76,66667";"80"
"2";"bupa";"42,85714";"45,71429";"45,58824";"44,11765";"40"
"3";"segment";"49,78355";"58,00866";"58,22511";"58,22511";"58,44156"
"4";"waveform-5000";"51,7";"49,1";"52,69461";"54,1";"53,90782"
"5";"phishingData";"61,07595";"63,8009";"74,38914";"75,79186";"76,65158"
"6";"mushroom";"88,92989";"89,9139";"90,3444";"90,4059";"90,52891"
"7";"pima";"60,38961";"59,74026";"63,81579";"64,47368";"66,88312"
"8";"vehicle";"29,16667";"33,33333";"28,57143";"30";"33,92857"
"9";"wilt";"93,49174";"94,43299";"94,42149";"94,43299";"94,43299"
"10";"kr-vs-kp";"57,65625";"61,875";"62,8125";"62,96875";"65,625"
"11";"blood-transfusion-service";"57,33333";"68,66667";"68";"65,33333";"65,33333"
"12";"cnae-9";"12,03704";"13,42593";"11,57407";"12,03704";"11,11111"
"13";"connectionist-mines-vs-rocks";"28,57143";"42,85714";"45";"42,85714";"42,85714"
"14";"flare";"22,66187";"30,35714";"22,26277";"31,20567";"28,41727"
"15";"indian-liver-patient";"34,21053";"34,21053";"35,96491";"34,21053";"35,96491"
"16";"leukemia-haslinger";"30";"70";"61,11111";"65";"61,11111"
"17";"mammographic-mass";"64,58333";"69,27083";"70,83333";"71,35417";"71,875"
"18";"mfeat-karhunen";"64,75";"69,5";"70,25";"72,75";"71,25"
"19";"musk";"57,19697";"66,36364";"57,72727";"61,21212";"66,21212"
"20";"ozone-onehr";"55,33597";"53,93701";"57,28346";"57,31225";"55,90551"
"21";"pendigits";"59,79945";"63,97996";"65,75592";"66,84882";"68,13636"
"22";"planning-relax";"61,11111";"55,55556";"63,15789";"63,88889";"57,89474"
"23";"seeds";"73,80952";"83,33333";"76,19048";"78,57143";"78,57143"
"24";"semeion";"22,5";"32,80255";"37,8882";"48,75";"46,20253"
"25";"spectf-heart";"51,47059";"42,64706";"42,64706";"41,17647";"41,17647"
"26";"tic-tac-toe";"64,0625";"64,21053";"64,58333";"64,58333";"64,58333"
"27";"twonorm";"91,4305";"91,55405";"91,55405";"91,41892";"91,48649"
"28";"hill-valley-with-noise";"42,91667";"45,83333";"45,83333";"44,21488";"44,6281"
"29";"balance-scale";"45,16129";"52,38095";"51,5873";"61,11111";"62,09677"
"30";"car";"69,54023";"69,54023";"69,54023";"69,54023";"69,54023"
