"";"V1";"V2";"V3";"V4";"V5";"V6"
"1";"iris";"33,33333";"63,33333";"63,33333";"63,33333";"60"
"2";"bupa";"50";"50";"50";"51,47059";"50"
"3";"segment";"70,34632";"79,22078";"81,16883";"80,30303";"82,25108"
"4";"waveform-5000";"33";"33,06613";"32,9";"33,13373";"33"
"5";"phishingData";"68,00905";"70,434";"80,60579";"80,74141";"82,45931"
"6";"mushroom";"93,29643";"95,07389";"97,22906";"97,84483";"97,84748"
"7";"pima";"50";"50";"62,98701";"64,93506";"62,98701"
"8";"vehicle";"37,3494";"45,18072";"50,58824";"54,70588";"54,11765"
"9";"wilt";"94,43299";"94,61698";"94,43299";"94,43299";"94,43299"
"10";"kr-vs-kp";"59,21875";"62,1875";"62,73585";"68,125";"70"
"11";"blood-transfusion-service";"76";"70,66667";"76";"76";"75,33333"
"12";"cnae-9";"31,01852";"42,12963";"42,12963";"45,83333";"52,77778"
"13";"connectionist-mines-vs-rocks";"50";"37,5";"47,61905";"47,61905";"43,18182"
"14";"flare";"28,05755";"28,26087";"28,05755";"28,77698";"40,71429"
"15";"indian-liver-patient";"70,68966";"70,68966";"70,68966";"70,68966";"70,68966"
"16";"leukemia-haslinger";"44,44444";"45";"50";"50";"50"
"17";"mammographic-mass";"64,58333";"67,52577";"67,70833";"65,46392";"73,71134"
"18";"mfeat-karhunen";"28,5";"39";"42";"47,25";"50,5"
"19";"musk";"88,01214";"91,66667";"92,04545";"93,85432";"94,92424"
"20";"ozone-onehr";"96,85039";"96,85039";"96,85039";"96,85039";"96,85039"
"21";"pendigits";"69,30064";"75,47858";"79,7911";"81,60763";"81,85962"
"22";"planning-relax";"68,42105";"50";"66,66667";"68,42105";"68,42105"
"23";"seeds";"33,33333";"66,66667";"71,42857";"78,57143";"71,42857"
"24";"semeion";"26,26582";"32,1875";"37,1875";"42,8125";"46,25"
"25";"spectf-heart";"61,42857";"70,83333";"65,71429";"71,42857";"67,14286"
"26";"tic-tac-toe";"64,58333";"61,57895";"61,45833";"64,58333";"64,58333"
"27";"twonorm";"77,26658";"78,85135";"78,87989";"75,77598";"79,7973"
"28";"hill-valley-with-noise";"42,97521";"37,19008";"47,10744";"47,13115";"49,16667"
"29";"balance-scale";"45,16129";"36,29032";"40,47619";"45,90164";"45,96774"
"30";"car";"69,54023";"69,54023";"69,54023";"69,54023";"69,54023"
