"";"V1";"V2";"V3";"V4";"V5";"V6"
"1";"iris";"100";"100";"100";"100";"100"
"2";"bupa";"62,85714";"76,47059";"65,71429";"64,70588";"64,70588"
"3";"segment";"89,17749";"91,77489";"93,93939";"94,37229";"96,5368"
"4";"waveform-5000";"75,8";"76";"77,35471";"78,08765";"78,6"
"5";"phishingData";"92,21719";"93,7613";"94,75113";"95,02262";"95,29412"
"6";"mushroom";"86,57635";"85,94328";"85,20345";"85,94328";"86,06658"
"7";"pima";"71,42857";"76,62338";"74,02597";"74,02597";"79,22078"
"8";"vehicle";"57,14286";"71,42857";"63,52941";"62,35294";"68,23529"
"9";"wilt";"94,83471";"95,25773";"95,87629";"95,04132";"95,66116"
"10";"kr-vs-kp";"76,875";"80,3125";"86,5625";"88,4375";"89,6875"
"11";"blood-transfusion-service";"76";"80";"77,33333";"82,43243";"80"
"12";"cnae-9";"65,74074";"70,37037";"67,59259";"77,77778";"75"
"13";"connectionist-mines-vs-rocks";"71,42857";"85,71429";"85,71429";"90,47619";"85"
"14";"flare";"77,53623";"71,22302";"76,81159";"77,14286";"76,08696"
"15";"indian-liver-patient";"75,86207";"79,31034";"74,13793";"75,86207";"75,86207"
"16";"leukemia-haslinger";"100";"100";"100";"100";"100"
"17";"mammographic-mass";"83,50515";"84,375";"89,69072";"85,56701";"83,33333"
"18";"mfeat-karhunen";"82,5";"90";"94";"95";"94,5"
"19";"musk";"93,34342";"93,33333";"95,45455";"97,12121";"98,3308"
"20";"ozone-onehr";"97,24409";"97,62846";"97,24409";"97,24409";"97,62846"
"21";"pendigits";"98,45314";"98,72843";"99,45355";"99,27207";"99,27207"
"22";"planning-relax";"72,22222";"72,22222";"72,22222";"72,22222";"78,94737"
"23";"seeds";"90,47619";"95,2381";"95,2381";"100";"95,2381"
"24";"semeion";"72,95597";"84,375";"84,47205";"88,81988";"89,44099"
"25";"spectf-heart";"79,41176";"80";"72,22222";"74,28571";"74,28571"
"26";"tic-tac-toe";"65,625";"65,625";"67,70833";"70,52632";"70,83333"
"27";"twonorm";"97,43243";"97,7027";"97,97023";"98,10555";"98,10811"
"28";"hill-valley-with-noise";"61,15702";"55,3719";"59,50413";"58,67769";"58,67769"
"29";"balance-scale";"82,53968";"87,30159";"88,88889";"91,93548";"90,47619"
"30";"car";"70,76023";"70,76023";"70,76023";"70,76023";"70,93023"
