"";"V1";"V2";"V3";"V4";"V5";"V6"
"1";"iris";"93,33333";"100";"100";"93,33333";"100"
"2";"bupa";"76,47059";"67,64706";"70,58824";"71,42857";"71,42857"
"3";"segment";"83,54978";"92,20779";"93,50649";"94,37229";"93,93939"
"4";"waveform-5000";"73,2";"75,1503";"75,6487";"77,24551";"76,55311"
"5";"phishingData";"91,31222";"93,58047";"93,30922";"94,21338";"93,84615"
"6";"mushroom";"98,89299";"86,10086";"84,25584";"85,83744";"84,1133"
"7";"pima";"80,51948";"75,32468";"77,92208";"81,57895";"77,92208"
"8";"vehicle";"58,82353";"62,35294";"65,88235";"64,28571";"72,94118"
"9";"wilt";"97,72727";"97,92961";"98,1405";"98,1405";"98,34711"
"10";"kr-vs-kp";"95,29781";"97,1875";"98,125";"97,8125";"98,125"
"11";"blood-transfusion-service";"79,72973";"82,66667";"77,33333";"78,66667";"82,66667"
"12";"cnae-9";"54,62963";"73,14815";"76,85185";"80,55556";"82,40741"
"13";"connectionist-mines-vs-rocks";"76,19048";"76,19048";"76,19048";"76,19048";"85,71429"
"14";"flare";"65,21739";"68,84058";"68,34532";"69,06475";"71,94245"
"15";"indian-liver-patient";"75,4386";"76,27119";"71,92982";"71,92982";"75,86207"
"16";"leukemia-haslinger";"90";"80";"90";"90,90909";"90"
"17";"mammographic-mass";"82,29167";"84,375";"88,42105";"90,52632";"88,42105"
"18";"mfeat-karhunen";"55";"69";"71";"74,5";"76,5"
"19";"musk";"91,95751";"94,84848";"93,62671";"95,30303";"96,9697"
"20";"ozone-onehr";"97,24409";"97,2332";"97,24409";"97,24409";"97,2332"
"21";"pendigits";"85,05014";"91,28065";"92,99363";"94,45455";"94,54049"
"22";"planning-relax";"72,22222";"72,22222";"72,22222";"77,77778";"72,22222"
"23";"seeds";"85,71429";"90,47619";"90,47619";"95,2381";"100"
"24";"semeion";"37,57962";"54,71698";"62,89308";"61,00629";"62,73292"
"25";"spectf-heart";"88,23529";"80";"88,23529";"82,85714";"88,57143"
"26";"tic-tac-toe";"74,73684";"83,33333";"98,95833";"100";"97,91667"
"27";"twonorm";"82,02703";"82,16216";"81,75676";"86,87415";"86,08108"
"28";"hill-valley-with-noise";"58,19672";"57,02479";"56,19835";"60,65574";"61,47541"
"29";"balance-scale";"79,03226";"77,41935";"77,77778";"84,12698";"82,53968"
"30";"car";"75,72254";"76,60819";"84,9711";"80,92486";"81,39535"
