"";"V1";"V2";"V3";"V4";"V5";"V6"
"1";"iris";"100";"93,33333";"100";"100";"100"
"2";"bupa";"62,85714";"74,28571";"65,71429";"65,71429";"68,57143"
"3";"segment";"70,99567";"68,83117";"77,92208";"71,42857";"72,72727"
"4";"waveform-5000";"76,35271";"76,55311";"78,95792";"78,55711";"79,35872"
"5";"phishingData";"92,49548";"93,30922";"93,39964";"94,39421";"94,48463"
"6";"mushroom";"90,52891";"92,12792";"90,89791";"91,14391";"92,12792"
"7";"pima";"71,42857";"80,51948";"76,62338";"77,92208";"75,32468"
"8";"vehicle";"48,19277";"44,04762";"41,66667";"47,67442";"47,05882"
"9";"wilt";"94,6281";"94,40994";"94,6281";"93,58178";"95,03106"
"10";"kr-vs-kp";"66,25";"67,8125";"67,08464";"67,08464";"67,08464"
"11";"blood-transfusion-service";"77,02703";"77,33333";"77,33333";"78,66667";"78,66667"
"12";"cnae-9";"62,96296";"61,11111";"64,81481";"62,96296";"61,11111"
"13";"connectionist-mines-vs-rocks";"76,19048";"75";"75";"75";"75"
"14";"flare";"45,25547";"43,79562";"64,23358";"47,48201";"41,72662"
"15";"indian-liver-patient";"71,92982";"72,41379";"66,10169";"71,18644";"65,51724"
"16";"leukemia-haslinger";"100";"100";"100";"100";"100"
"17";"mammographic-mass";"84,21053";"85,26316";"84,21053";"83,15789";"84,21053"
"18";"mfeat-karhunen";"86";"88,5";"89,5";"89,5";"92,5"
"19";"musk";"78,30046";"79,24242";"80,45455";"82,12121";"81,66667"
"20";"ozone-onehr";"84,18972";"69,16996";"67,98419";"68,7747";"68,7747"
"21";"pendigits";"82,54545";"83,80346";"82,69581";"77,07006";"78,09091"
"22";"planning-relax";"77,77778";"77,77778";"78,94737";"72,22222";"88,88889"
"23";"seeds";"90,47619";"90,47619";"95,2381";"100";"95,2381"
"24";"semeion";"76,72956";"77,8481";"74,375";"77,5";"81,76101"
"25";"spectf-heart";"80,55556";"68,57143";"68,57143";"66,66667";"69,44444"
"26";"tic-tac-toe";"68,04124";"70,83333";"72,63158";"71,875";"71,875"
"27";"twonorm";"98,24324";"98,24324";"98,24561";"98,24561";"98,24561"
"28";"hill-valley-with-noise";"54,16667";"54,16667";"55,7377";"54,91803";"52,06612"
"29";"balance-scale";"73,01587";"68,25397";"72,58065";"73,01587";"80,95238"
"30";"car";"70,76023";"70,76023";"70,76023";"70,76023";"71,34503"
