"";"V1";"V2";"V3";"V4";"V5";"V6"
"1";"iris";"66,66667";"100";"100";"100";"100"
"2";"bupa";"76,47059";"62,85714";"64,70588";"71,42857";"74,28571"
"3";"segment";"91,77489";"91,77489";"93,50649";"95,2381";"95,671"
"4";"waveform-5000";"70,34068";"72,4";"75,8";"77,15431";"75,8"
"5";"phishingData";"93,7613";"93,12839";"94,48463";"94,93671";"94,66546"
"6";"mushroom";"99,87685";"100";"100";"100";"100"
"7";"pima";"76,62338";"75,32468";"80,26316";"76,62338";"78,94737"
"8";"vehicle";"61,17647";"70,58824";"62,35294";"68,6747";"70,58824"
"9";"wilt";"96,69421";"97,72257";"97,52066";"98,76033";"98,55372"
"10";"kr-vs-kp";"97,5";"96,8652";"98,74608";"98,75";"98,4375"
"11";"blood-transfusion-service";"77,02703";"77,33333";"85,33333";"77,02703";"82,43243"
"12";"cnae-9";"64,81481";"76,85185";"80,55556";"81,48148";"85,18519"
"13";"connectionist-mines-vs-rocks";"80,95238";"76,19048";"80,95238";"85";"80,95238"
"14";"flare";"77,85714";"76,08696";"77,85714";"77,85714";"77,85714"
"15";"indian-liver-patient";"72,41379";"72,41379";"72,41379";"72,41379";"72,41379"
"16";"leukemia-haslinger";"50";"90";"80";"90";"90"
"17";"mammographic-mass";"85,56701";"87,36842";"87,36842";"87,36842";"91,57895"
"18";"mfeat-karhunen";"62";"69";"70,5";"74";"73"
"19";"musk";"97,27273";"99,54545";"100";"100";"100"
"20";"ozone-onehr";"97,24409";"97,24409";"97,24409";"97,24409";"97,24409"
"21";"pendigits";"82,78689";"89,25319";"90,71038";"92,35669";"93,1694"
"22";"planning-relax";"72,22222";"72,22222";"72,22222";"72,22222";"72,22222"
"23";"seeds";"85,71429";"95,2381";"90,47619";"95,2381";"90,47619"
"24";"semeion";"50";"59,00621";"61,1465";"68,55346";"64,375"
"25";"spectf-heart";"74,28571";"82,85714";"79,41176";"91,17647";"82,85714"
"26";"tic-tac-toe";"75,25773";"80";"85,26316";"90,72165";"92,78351"
"27";"twonorm";"78,0027";"80,02699";"79,45946";"82,27334";"81,10661"
"28";"hill-valley-with-noise";"57,85124";"52,89256";"66,1157";"59,50413";"56,66667"
"29";"balance-scale";"72,58065";"79,03226";"74,60317";"77,77778";"82,25806"
"30";"car";"84,30233";"89,59538";"93,02326";"94,21965";"95,37572"
