"";"V1";"V2";"V3";"V4";"V5";"V6"
"1";"iris";"83,999999";"89,333332";"94,666666";"93,333332";"94,666667"
"2";"bupa";"54,470588";"54,201681";"56,184873";"52,159663";"52,756303"
"3";"segment";"84,761905";"89,78355";"91,385279";"92,81385";"92,597401"
"4";"waveform-5000";"70,800384";"71,779304";"73,084228";"75,359688";"76,618485"
"5";"phishingData";"90,4478";"92,564448";"93,306243";"94,174597";"94,644964"
"6";"mushroom";"81,782861";"83,235278";"83,136695";"83,272238";"83,284554"
"7";"pima";"64,205398";"66,517431";"66,273067";"68,357826";"67,31203"
"8";"vehicle";"49,617843";"55,136832";"57,222851";"58,39512";"62,888314"
"9";"wilt";"93,118673";"93,924032";"94,502802";"94,213246";"94,337256"
"10";"kr-vs-kp";"71,429076";"77,783798";"83,603252";"85,606681";"86,293789"
"11";"blood-transfusion-service";"70,987388";"74,985586";"73,398199";"77,009009";"75,8"
"12";"cnae-9";"47,407406";"59,629629";"63,425926";"68,981482";"69,629629"
"13";"connectionist-mines-vs-rocks";"55,738095";"63,523811";"64,000001";"72,023811";"69,238095"
"14";"flare";"66,676489";"67,739577";"70,192011";"71,839397";"71,417057"
"15";"indian-liver-patient";"67,435529";"66,903577";"68,633661";"69,513469";"66,248988"
"16";"leukemia-haslinger";"73";"72";"81";"80";"82"
"17";"mammographic-mass";"75,853239";"78,34673";"78,647416";"78,442326";"77,202013"
"18";"mfeat-karhunen";"74,75";"84,6";"89,15";"90,4";"92,1"
"19";"musk";"89,738673";"91,634015";"94,43739";"95,66579";"96,423414"
"20";"ozone-onehr";"96,845411";"96,885716";"96,845411";"96,845878";"96,648406"
"21";"pendigits";"96,915898";"98,125883";"98,562675";"98,753643";"98,935662"
"22";"planning-relax";"70,380115";"61,052633";"65,438596";"65,438597";"65,906433"
"23";"seeds";"80,952381";"84,761906";"87,142859";"92,380955";"90,000003"
"24";"semeion";"68,603588";"78,333234";"81,478491";"83,919153";"85,307209"
"25";"spectf-heart";"66,52521";"66,721287";"61,771708";"68,746965";"64,376282"
"26";"tic-tac-toe";"65,344626";"65,344626";"65,761315";"66,808466";"67,32715"
"27";"twonorm";"97,027171";"97,108289";"97,297442";"97,230001";"97,432448"
"28";"hill-valley-with-noise";"52,730727";"48,506921";"53,308563";"50,493147";"50,898208"
"29";"balance-scale";"77,272167";"83,207045";"83,024771";"84,627601";"84,799468"
"30";"car";"70,025404";"70,025404";"70,025404";"70,025404";"70,083543"
