"";"V1";"V2";"V3";"V4";"V5";"V6"
"1";"iris";"71,333332";"78,666668";"84,666666";"82,666666";"91,333332"
"2";"bupa";"52,789917";"54,815127";"57,663867";"57,411764";"59,142859"
"3";"segment";"75,281386";"86,709957";"89,74026";"90,173159";"92,55411"
"4";"waveform-5000";"63,441546";"66,161735";"67,738945";"72,979515";"73,898715"
"5";"phishingData";"90,357345";"92,293104";"92,428751";"92,573416";"93,062039"
"6";"mushroom";"85,795083";"83,17237";"82,176197";"82,262768";"81,880994"
"7";"pima";"70,972317";"67,843471";"72,142857";"73,321942";"69,142173"
"8";"vehicle";"44,827242";"54,369942";"56,969383";"60,641716";"61,584457"
"9";"wilt";"96,465953";"96,941591";"97,230719";"97,16882";"97,333939"
"10";"kr-vs-kp";"91,802999";"94,993241";"96,151938";"96,339635";"97,121472"
"11";"blood-transfusion-service";"72,987388";"75,663063";"75,661261";"76,068468";"76,064866"
"12";"cnae-9";"46,203703";"61,018517";"73,24074";"73,796297";"78,148149"
"13";"connectionist-mines-vs-rocks";"55,238095";"61,119049";"58,54762";"67,857144";"71,07143"
"14";"flare";"60,762361";"60,252216";"61,902728";"62,698669";"65,226761"
"15";"indian-liver-patient";"68,614383";"68,091194";"68,587571";"69,470711";"70,84105"
"16";"leukemia-haslinger";"58,030303";"57,989899";"65,232323";"72,757576";"69,030303"
"17";"mammographic-mass";"77,208028";"81,272903";"82,521894";"82,728104";"82,631455"
"18";"mfeat-karhunen";"42,5";"56,9";"65,5";"69,45";"72,95"
"19";"musk";"88,04196";"91,831242";"91,331288";"93,407366";"94,846464"
"20";"ozone-onehr";"97,082245";"96,411709";"96,727291";"96,216096";"96,33219"
"21";"pendigits";"81,223459";"88,218236";"91,093505";"92,158037";"92,722203"
"22";"planning-relax";"64,239765";"65,964912";"67,602338";"69,795321";"66,023392"
"23";"seeds";"68,57143";"79,04762";"79,52381";"85,238098";"85,238096"
"24";"semeion";"31,962613";"43,059218";"52,92064";"54,003674";"58,682995"
"25";"spectf-heart";"68,565825";"73,057422";"74,798786";"74,722223";"75,083567"
"26";"tic-tac-toe";"67,029751";"75,988266";"89,759756";"93,947278";"95,515171"
"27";"twonorm";"77,47133";"77,917223";"78,135137";"81,580467";"83,771026"
"28";"hill-valley-with-noise";"50,816228";"50,745856";"50,489725";"52,132468";"51,879793"
"29";"balance-scale";"69,119306";"72,8085";"72,956989";"78,067075";"77,601126"
"30";"car";"69,963933";"73,098811";"76,612171";"77,487294";"78,005188"
