"";"V1";"V2";"V3";"V4";"V5";"V6"
"1";"iris";"78,000001";"86";"93,333332";"94,666666";"95,333333"
"2";"bupa";"50,40336";"56,243698";"50,680672";"48,630252";"46,025209"
"3";"segment";"67,402597";"65,714287";"68,96104";"68,441559";"69,1342"
"4";"waveform-5000";"63,763518";"67,394946";"70,439477";"74,46415";"74,739802"
"5";"phishingData";"78,651323";"83,357931";"89,833006";"92,926154";"92,926163"
"6";"mushroom";"89,019714";"89,265731";"89,228905";"89,413485";"89,474939"
"7";"pima";"64,200272";"65,500682";"67,973341";"68,879017";"68,872179"
"8";"vehicle";"37,150243";"38,319541";"36,076947";"37,214418";"38,893865"
"9";"wilt";"93,304752";"92,891614";"93,386971";"92,746559";"92,829805"
"10";"kr-vs-kp";"56,9428";"61,446413";"62,450738";"63,139317";"63,484244"
"11";"blood-transfusion-service";"71,392794";"69,517118";"70,983783";"68,852252";"72,589189"
"12";"cnae-9";"51,111111";"52,592593";"53,611111";"53,981482";"54,166668"
"13";"connectionist-mines-vs-rocks";"59,686148";"58,792207";"57,402598";"59,311688";"59,357143"
"14";"flare";"35,668531";"36,298965";"39,903441";"39,875454";"35,841376"
"15";"indian-liver-patient";"59,37648";"57,306181";"55,052907";"55,57015";"54,193556"
"16";"leukemia-haslinger";"66,010101";"77,434344";"78,959596";"86,070707";"83,070707"
"17";"mammographic-mass";"77,424501";"77,741431";"76,385006";"77,327964";"78,567247"
"18";"mfeat-karhunen";"83,05";"85,6";"86,25";"86,95";"88,85"
"19";"musk";"75,963029";"76,189451";"77,599049";"78,902355";"78,06893"
"20";"ozone-onehr";"69,290036";"64,832632";"64,716373";"64,716529";"64,954926"
"21";"pendigits";"76,436902";"78,530781";"75,028578";"76,236856";"76,800669"
"22";"planning-relax";"71,461987";"58,80117";"63,099415";"53,91813";"60,029241"
"23";"seeds";"81,428573";"87,142859";"89,04762";"90,952382";"88,095239"
"24";"semeion";"66,666451";"70,749835";"70,625229";"72,935873";"74,89967"
"25";"spectf-heart";"71,033148";"60,064428";"59,501403";"57,77031";"58,922035"
"26";"tic-tac-toe";"65,758072";"64,710921";"67,848028";"67,210967";"68,372061"
"27";"twonorm";"97,81059";"97,824121";"97,837616";"97,837616";"97,837616"
"28";"hill-valley-with-noise";"49,840143";"48,935781";"50,407804";"49,753421";"48,101083"
"29";"balance-scale";"54,851468";"60,801625";"61,426473";"64,590415";"64,645354"
"30";"car";"70,024937";"70,024937";"70,024937";"70,024937";"70,083417"
