"";"V1";"V2";"V3";"V4";"V5";"V6"
"1";"iris";"36,666664";"87,333334";"92";"92,000002";"96"
"2";"bupa";"60,899161";"56,226891";"57,453782";"58,579832";"58,537815"
"3";"segment";"86,233766";"87,402599";"90,38961";"92,640691";"91,904762"
"4";"waveform-5000";"65,140585";"69,159549";"71,421156";"71,701155";"72,520076"
"5";"phishingData";"90,891269";"91,8589";"92,953471";"93,523192";"93,423798"
"6";"mushroom";"99,199858";"99,630482";"99,815348";"99,778295";"99,901493"
"7";"pima";"65,880039";"70,960355";"71,48838";"71,611415";"70,98086"
"8";"vehicle";"49,89781";"56,236645";"57,329418";"61,961307";"63,234248"
"9";"wilt";"95,164685";"96,797091";"96,962208";"97,231103";"97,561681"
"10";"kr-vs-kp";"94,086306";"94,150372";"96,151548";"97,215124";"96,839048"
"11";"blood-transfusion-service";"76,205406";"75,663063";"76,605406";"76,070271";"76,616216"
"12";"cnae-9";"52,407408";"67,314816";"71,203703";"75,37037";"76,75926"
"13";"connectionist-mines-vs-rocks";"60,66883";"60,688313";"69,623378";"64,597403";"64,337663"
"14";"flare";"68,750627";"69,986781";"71,918942";"72,567475";"71,987259"
"15";"indian-liver-patient";"71,019512";"70,680529";"68,810176";"70,481302";"71,186081"
"16";"leukemia-haslinger";"48,989899";"66,939394";"59,19192";"66,232323";"68,252525"
"17";"mammographic-mass";"78,453393";"79,104347";"80,545408";"80,653938";"80,949211"
"18";"mfeat-karhunen";"52,55";"60,9";"66,05";"66,95";"67,55"
"19";"musk";"94,952729";"98,15087";"99,045108";"99,211774";"99,333009"
"20";"ozone-onehr";"97,121624";"97,121624";"97,121624";"96,924774";"97,121624"
"21";"pendigits";"80,905074";"86,963275";"89,464849";"90,574486";"92,049"
"22";"planning-relax";"71,461986";"70,906431";"70,906431";"71,461986";"71,461986"
"23";"seeds";"76,190477";"85,238097";"83,809525";"84,761906";"82,380953"
"24";"semeion";"37,946375";"48,055286";"54,578049";"56,874021";"58,448602"
"25";"spectf-heart";"70,531277";"74,222221";"73,94491";"75,684872";"74,229691"
"26";"tic-tac-toe";"67,196261";"65,361378";"74,851985";"81,209623";"84,445751"
"27";"twonorm";"74,959332";"76,838277";"77,500514";"79,176282";"78,445164"
"28";"hill-valley-with-noise";"52,065518";"49,664579";"51,902179";"51,400115";"50,265636"
"29";"balance-scale";"65,740349";"68,160042";"66,716359";"70,24691";"72,650986"
"30";"car";"74,838818";"84,954187";"88,369343";"91,378824";"91,782119"
