"";"V1";"V2";"V3";"V4";"V5";"V6"
"1";"iris";"60";"73,33333";"86,66667";"66,66667";"86,66667"
"2";"bupa";"41,17647";"42,85714";"44,11765";"38,23529";"42,85714"
"3";"segment";"78,78788";"87,01299";"84,84848";"90,47619";"90,90909"
"4";"waveform-5000";"68";"64,92986";"68,12749";"71,2";"74,3487"
"5";"phishingData";"88,78843";"91,13924";"92,0434";"93,66516";"93,75566"
"6";"mushroom";"76,47783";"81,54982";"81,54982";"81,54982";"81,54982"
"7";"pima";"57,14286";"59,21053";"58,44156";"61,03896";"59,74026"
"8";"vehicle";"36,90476";"34,88372";"45,88235";"50";"57,64706"
"9";"wilt";"89,66942";"92,35537";"93,59504";"92,75362";"93,38843"
"10";"kr-vs-kp";"67,39812";"75,3125";"81,19122";"80,87774";"79,9373"
"11";"blood-transfusion-service";"62,66667";"68,91892";"66,66667";"70,66667";"71,62162"
"12";"cnae-9";"33,33333";"53,7037";"55,55556";"53,7037";"61,11111"
"13";"connectionist-mines-vs-rocks";"38,09524";"38,09524";"38,09524";"57,14286";"55"
"14";"flare";"58,27338";"64,7482";"64,7482";"65,46763";"67,85714"
"15";"indian-liver-patient";"52,54237";"44,82759";"57,62712";"45,76271";"54,23729"
"16";"leukemia-haslinger";"50";"30";"50";"50";"50"
"17";"mammographic-mass";"66,66667";"72,91667";"68,75";"70,83333";"67,70833"
"18";"mfeat-karhunen";"65";"81";"85,5";"88";"88"
"19";"musk";"85,75758";"89,69697";"93,63636";"93,33333";"95,30303"
"20";"ozone-onehr";"96,04743";"94,88189";"96,04743";"94,88189";"94,86166"
"21";"pendigits";"95,5414";"97,36124";"97,99818";"98,26958";"98,36215"
"22";"planning-relax";"63,15789";"50";"50";"57,89474";"38,88889"
"23";"seeds";"61,90476";"71,42857";"76,19048";"85,71429";"80,95238"
"24";"semeion";"63,05732";"73,125";"75,4717";"78,61635";"81,25"
"25";"spectf-heart";"45,71429";"48,57143";"44,11765";"57,14286";"50"
"26";"tic-tac-toe";"64,58333";"64,58333";"64,58333";"64,58333";"65,26316"
"27";"twonorm";"96,49123";"96,08637";"96,62162";"96,35135";"96,76113"
"28";"hill-valley-with-noise";"46,72131";"34,71074";"48,36066";"45,45455";"43,80165"
"29";"balance-scale";"65,07937";"71,42857";"73,77049";"76,19048";"77,77778"
"30";"car";"69,54023";"69,54023";"69,54023";"69,54023";"69,54023"
