"";"V1";"V2";"V3";"V4";"V5";"V6"
"1";"iris";"53,33333";"60";"73,33333";"73,33333";"80"
"2";"bupa";"38,23529";"44,11765";"41,17647";"31,42857";"37,14286"
"3";"segment";"61,47186";"83,11688";"86,58009";"83,98268";"90,04329"
"4";"waveform-5000";"56,51303";"54";"59";"67,6";"68,33667"
"5";"phishingData";"89,15009";"91,13924";"90,76923";"91,13122";"91,68174"
"6";"mushroom";"80,56581";"79,92611";"79,92611";"79,92611";"79,92611"
"7";"pima";"55,84416";"61,03896";"63,63636";"62,33766";"62,33766"
"8";"vehicle";"32,55814";"42,85714";"46,42857";"55,29412";"47,05882"
"9";"wilt";"94,40994";"95,45455";"96,07438";"96,28099";"96,07438"
"10";"kr-vs-kp";"83,75";"92,16301";"93,75";"93,75";"95,625"
"11";"blood-transfusion-service";"60,81081";"68";"68,91892";"73,33333";"71,62162"
"12";"cnae-9";"30,55556";"53,7037";"66,66667";"63,88889";"72,22222"
"13";"connectionist-mines-vs-rocks";"33,33333";"47,61905";"38,09524";"57,14286";"52,38095"
"14";"flare";"52,89855";"51,44928";"51,44928";"56,52174";"62,85714"
"15";"indian-liver-patient";"65,51724";"53,44828";"58,62069";"58,62069";"64,91228"
"16";"leukemia-haslinger";"30";"40";"50";"60";"50"
"17";"mammographic-mass";"68,75";"76,04167";"77,08333";"77,08333";"79,16667"
"18";"mfeat-karhunen";"32,5";"45,5";"59,5";"66";"66"
"19";"musk";"84,97724";"88,48485";"87,27273";"91,9697";"92,87879"
"20";"ozone-onehr";"96,83794";"94,09449";"95,25692";"94,11765";"94,4664"
"21";"pendigits";"77,09091";"85,96171";"89,25319";"89,90909";"89,72727"
"22";"planning-relax";"44,44444";"50";"50";"61,11111";"57,89474"
"23";"seeds";"38,09524";"61,90476";"66,66667";"76,19048";"71,42857"
"24";"semeion";"21,38365";"33,96226";"47,16981";"45,34161";"54,77707"
"25";"spectf-heart";"44,44444";"67,64706";"65,71429";"61,76471";"65,71429"
"26";"tic-tac-toe";"56,70103";"64,94845";"83,15789";"86,45833";"91,75258"
"27";"twonorm";"69,82409";"72,80108";"72,97297";"73,64865";"79,72973"
"28";"hill-valley-with-noise";"45,83333";"42,97521";"46,28099";"47,10744";"47,5"
"29";"balance-scale";"58,73016";"65,07937";"66,12903";"70,96774";"69,84127"
"30";"car";"63,58382";"67,63006";"70,93023";"69,18605";"73,83721"
