"";"V1";"V2";"V3";"V4";"V5";"V6"
"1";"iris";"66,66667";"66,66667";"80";"86,66667";"86,66667"
"2";"bupa";"35,29412";"45,71429";"41,17647";"38,23529";"35,29412"
"3";"segment";"62,77056";"59,30736";"64,93506";"64,93506";"65,80087"
"4";"waveform-5000";"55,6";"57,6";"58";"65,8";"69,33868"
"5";"phishingData";"61,71946";"63,83363";"80,83183";"91,67421";"91,67421"
"6";"mushroom";"87,56158";"87,56158";"87,80788";"87,56158";"87,56158"
"7";"pima";"46,75325";"53,24675";"61,03896";"58,44156";"62,33766"
"8";"vehicle";"31,39535";"30,58824";"30,58824";"28,91566";"32,94118"
"9";"wilt";"92,35537";"91,52893";"91,94215";"92,14876";"90,70248"
"10";"kr-vs-kp";"51,5625";"49,37107";"56,60377";"57,54717";"58,1761"
"11";"blood-transfusion-service";"64";"50,66667";"62,66667";"40";"61,33333"
"12";"cnae-9";"37,03704";"46,2963";"49,07407";"42,59259";"47,22222"
"13";"connectionist-mines-vs-rocks";"40,90909";"33,33333";"42,85714";"42,85714";"42,85714"
"14";"flare";"29,78723";"32,6087";"32,3741";"31,15942";"31,65468"
"15";"indian-liver-patient";"47,45763";"43,85965";"43,85965";"42,37288";"49,15254"
"16";"leukemia-haslinger";"50";"45,45455";"60";"70";"60"
"17";"mammographic-mass";"69,47368";"71,875";"67,70833";"68,75";"68,75"
"18";"mfeat-karhunen";"78,5";"82,5";"84";"83,5";"86"
"19";"musk";"73,0303";"72,87879";"72,72727";"76,36364";"74,65857"
"20";"ozone-onehr";"62,7451";"59,21569";"53,72549";"54,90196";"53,72549"
"21";"pendigits";"68,87477";"70,58288";"72,81818";"74,49909";"74,68124"
"22";"planning-relax";"66,66667";"38,88889";"44,44444";"31,57895";"36,84211"
"23";"seeds";"57,14286";"80,95238";"80,95238";"85,71429";"80,95238"
"24";"semeion";"59,74843";"65,83851";"67,5";"69,18239";"68,35443"
"25";"spectf-heart";"64,70588";"50";"51,42857";"50";"50"
"26";"tic-tac-toe";"63,54167";"48,95833";"63,54167";"57,89474";"65,26316"
"27";"twonorm";"96,88769";"97,023";"97,023";"97,023";"97,023"
"28";"hill-valley-with-noise";"45,08197";"43,44262";"45,83333";"45,08197";"45"
"29";"balance-scale";"40,32258";"49,20635";"51,6129";"50,81967";"51,6129"
"30";"car";"69,54023";"69,54023";"69,54023";"69,54023";"69,54023"
