"";"V1";"V2";"V3";"V4";"V5";"V6"
"1";"iris";"33,33333";"66,66667";"73,33333";"86,66667";"86,66667"
"2";"bupa";"52,94118";"47,05882";"42,85714";"51,42857";"47,05882"
"3";"segment";"81,81818";"83,11688";"85,71429";"90,04329";"88,31169"
"4";"waveform-5000";"61,8";"65,53106";"66,2";"69,73948";"69,6"
"5";"phishingData";"88,33635";"90,3255";"90,68716";"92,31465";"91,86257"
"6";"mushroom";"98,15498";"98,52035";"99,50739";"99,13687";"99,75369"
"7";"pima";"61,03896";"64,93506";"64,93506";"61,03896";"61,03896"
"8";"vehicle";"25,88235";"48,19277";"49,41176";"52,94118";"57,64706"
"9";"wilt";"92,56198";"95,86777";"96,07438";"95,46392";"96,69421"
"10";"kr-vs-kp";"90,9375";"90,625";"94,35737";"95,92476";"94,98433"
"11";"blood-transfusion-service";"76";"70,27027";"70,66667";"75,67568";"72"
"12";"cnae-9";"37,96296";"57,40741";"64,81481";"68,51852";"67,59259"
"13";"connectionist-mines-vs-rocks";"52,38095";"38,09524";"50";"38,09524";"35"
"14";"flare";"64,28571";"64,7482";"67,6259";"69,06475";"68,34532"
"15";"indian-liver-patient";"67,79661";"64,40678";"57,62712";"63,15789";"68,96552"
"16";"leukemia-haslinger";"44,44444";"50";"36,36364";"30";"40"
"17";"mammographic-mass";"68,75";"61,85567";"74,2268";"67,01031";"71,875"
"18";"mfeat-karhunen";"37,5";"48";"59,5";"56,5";"63"
"19";"musk";"92,41275";"96,06061";"97,72382";"97,72382";"98,63636"
"20";"ozone-onehr";"96,85039";"96,85039";"96,85039";"94,88189";"96,85039"
"21";"pendigits";"78,63636";"82,71156";"88,08007";"88,42297";"91,00817"
"22";"planning-relax";"68,42105";"66,66667";"66,66667";"68,42105";"68,42105"
"23";"seeds";"52,38095";"66,66667";"76,19048";"71,42857";"71,42857"
"24";"semeion";"31,44654";"39,62264";"44,65409";"49,0566";"53,45912"
"25";"spectf-heart";"60";"71,42857";"68,57143";"71,42857";"65,71429"
"26";"tic-tac-toe";"57,29167";"52,08333";"66,66667";"68,04124";"70,83333"
"27";"twonorm";"72,16216";"70,81081";"72,16216";"76,75676";"74,86486"
"28";"hill-valley-with-noise";"41,32231";"42,5";"46,72131";"42,5";"39,34426"
"29";"balance-scale";"59,01639";"55,55556";"58,06452";"63,49206";"63,49206"
"30";"car";"65,89595";"80,34682";"85,54913";"89,01734";"87,86127"
