"";"V1";"V2";"V3";"V4";"V5";"V6"
"1";"iris";"100";"100";"100";"100";"100"
"2";"bupa";"65,71429";"73,52941";"67,64706";"68,57143";"64,70588"
"3";"segment";"90,47619";"94,37229";"95,671";"94,80519";"95,671"
"4";"waveform-5000";"83,56713";"83,6";"84,56914";"86,6";"85,97194"
"5";"phishingData";"92,48869";"94,03255";"94,47964";"94,3038";"95,38879"
"6";"mushroom";"84,85222";"84,60591";"84,72906";"84,72906";"84,72906"
"7";"pima";"76,62338";"76,62338";"77,92208";"76,62338";"75,32468"
"8";"vehicle";"61,17647";"66,66667";"66,66667";"67,85714";"69,04762"
"9";"wilt";"95,04132";"94,83471";"95,2381";"95,45455";"95,45455"
"10";"kr-vs-kp";"80,9375";"85,9375";"87,1875";"90,9375";"91,53605"
"11";"blood-transfusion-service";"80";"80";"80";"82,66667";"81,33333"
"12";"cnae-9";"63,88889";"64,81481";"78,7037";"76,85185";"78,7037"
"13";"connectionist-mines-vs-rocks";"72,72727";"80,95238";"80,95238";"85,71429";"90,90909"
"14";"flare";"70,5036";"73,18841";"72,46377";"75,36232";"76,64234"
"15";"indian-liver-patient";"72,41379";"74,13793";"72,41379";"72,41379";"75,86207"
"16";"leukemia-haslinger";"100";"100";"100";"90";"100"
"17";"mammographic-mass";"85,41667";"83,50515";"84,21053";"83,15789";"84,53608"
"18";"mfeat-karhunen";"88";"94";"94,5";"96,5";"96"
"19";"musk";"94,84848";"95,75758";"96,9697";"98,33333";"98,0303"
"20";"ozone-onehr";"97,6378";"97,24409";"97,2332";"97,62846";"97,24409"
"21";"pendigits";"97,81818";"98,27273";"98,72843";"99,18256";"99,00091"
"22";"planning-relax";"72,22222";"77,77778";"84,21053";"72,22222";"72,22222"
"23";"seeds";"95,2381";"95,2381";"95,2381";"100";"95,2381"
"24";"semeion";"79,74684";"83,85093";"88,81988";"87,34177";"88,67925"
"25";"spectf-heart";"76,47059";"82,35294";"82,35294";"77,77778";"86,11111"
"26";"tic-tac-toe";"81,25";"89,47368";"95,78947";"94,73684";"95,83333"
"27";"twonorm";"98,24324";"97,83784";"97,97023";"98,10811";"98,24324"
"28";"hill-valley-with-noise";"58,33333";"54,54545";"56,55738";"58,67769";"57,37705"
"29";"balance-scale";"88,70968";"90,47619";"90,47619";"92,06349";"90,47619"
"30";"car";"77,32558";"81,97674";"80,81395";"80,81395";"81,50289"
