"";"V1";"V2";"V3";"V4";"V5";"V6"
"1";"iris";"93,33333";"93,33333";"100";"100";"100"
"2";"bupa";"58,82353";"68,57143";"68,57143";"71,42857";"70,58824"
"3";"segment";"77,48918";"85,71429";"90,47619";"92,20779";"92,20779"
"4";"waveform-5000";"71,6";"75,2";"78,48606";"78,4";"78,48606"
"5";"phishingData";"93,39964";"93,30922";"93,85172";"95,38879";"94,48463"
"6";"mushroom";"89,53202";"85,20345";"88,90259";"85,20345";"85,20345"
"7";"pima";"73,68421";"75,32468";"76,62338";"83,11688";"77,92208"
"8";"vehicle";"55,42169";"58,82353";"66,26506";"68,6747";"65,88235"
"9";"wilt";"97,72727";"97,52066";"98,1405";"98,1405";"98,55372"
"10";"kr-vs-kp";"95,625";"96,55172";"98,11912";"98,4375";"99,05956"
"11";"blood-transfusion-service";"81,33333";"81,33333";"80";"85,13514";"78,66667"
"12";"cnae-9";"57,40741";"72,22222";"73,14815";"75,92593";"83,33333"
"13";"connectionist-mines-vs-rocks";"80,95238";"85,71429";"80";"76,19048";"81,81818"
"14";"flare";"66,18705";"67,85714";"72,14286";"72,66187";"74,10072"
"15";"indian-liver-patient";"72,88136";"74,13793";"75,4386";"72,88136";"72,41379"
"16";"leukemia-haslinger";"50";"80";"90";"80";"80"
"17";"mammographic-mass";"87,62887";"87,62887";"90,625";"87,5";"88,65979"
"18";"mfeat-karhunen";"52";"59";"70,5";"71";"76"
"19";"musk";"92,27273";"95,30303";"96,66161";"97,42033";"97,87879"
"20";"ozone-onehr";"97,24409";"97,2549";"97,24409";"97,24409";"97,24409"
"21";"pendigits";"78,45455";"87,90909";"89,89071";"91,0828";"93,71585"
"22";"planning-relax";"72,22222";"77,77778";"72,22222";"77,77778";"72,22222"
"23";"seeds";"90,47619";"95,2381";"100";"95,2381";"95,2381"
"24";"semeion";"38,125";"51,25";"55,34591";"57,86164";"63,75"
"25";"spectf-heart";"79,41176";"82,35294";"82,85714";"88,57143";"82,85714"
"26";"tic-tac-toe";"76,04167";"86,31579";"94,79167";"100";"100"
"27";"twonorm";"85,40541";"85,13514";"84,32432";"86,48649";"88,64865"
"28";"hill-valley-with-noise";"59,01639";"55,7377";"59,50413";"58,67769";"57,85124"
"29";"balance-scale";"75,40984";"79,36508";"76,19048";"87,09677";"84,12698"
"30";"car";"76,02339";"77,32558";"78,16092";"83,72093";"84,30233"
