"";"V1";"V2";"V3";"V4";"V5";"V6"
"1";"iris";"93,33333";"100";"100";"100";"100"
"2";"bupa";"65,71429";"57,14286";"67,64706";"62,85714";"64,70588"
"3";"segment";"78,35498";"74,45887";"74,02597";"77,05628";"76,62338"
"4";"waveform-5000";"78,08765";"78,35671";"78,55711";"78,55711";"78,68526"
"5";"phishingData";"94,11765";"93,75566";"93,66516";"93,75566";"93,75566"
"6";"mushroom";"92,49692";"94,21894";"93,97294";"94,71095";"93,95808"
"7";"pima";"75";"76,62338";"74,02597";"75";"76,31579"
"8";"vehicle";"47,61905";"45,88235";"43,90244";"47,67442";"43,52941"
"9";"wilt";"94,61698";"94,83471";"96,28099";"94,40994";"94,40994"
"10";"kr-vs-kp";"72,1875";"72,5";"72,5";"73,4375";"73,75"
"11";"blood-transfusion-service";"77,02703";"76";"76";"76";"77,33333"
"12";"cnae-9";"24,07407";"36,11111";"37,96296";"36,11111";"40,74074"
"13";"connectionist-mines-vs-rocks";"71,42857";"76,19048";"85";"71,42857";"71,42857"
"14";"flare";"55,39568";"46,37681";"47,10145";"58,27338";"47,82609"
"15";"indian-liver-patient";"66,10169";"65,51724";"63,7931";"67,24138";"67,24138"
"16";"leukemia-haslinger";"80";"100";"100";"90";"100"
"17";"mammographic-mass";"83,33333";"83,33333";"80,20833";"81,25";"81,05263"
"18";"mfeat-karhunen";"93";"93";"95,5";"96";"96"
"19";"musk";"83,35855";"77,72727";"82,42424";"81,21212";"79,66616"
"20";"ozone-onehr";"90,51383";"79,8419";"73,62205";"74,80315";"72,83465"
"21";"pendigits";"85,2459";"84,45455";"86,24772";"85,5323";"85,98726"
"22";"planning-relax";"83,33333";"77,77778";"77,77778";"72,22222";"77,77778"
"23";"seeds";"95,2381";"100";"95,2381";"95,2381";"100"
"24";"semeion";"75";"76,10063";"80,50314";"81,25";"77,8481"
"25";"spectf-heart";"82,85714";"83,33333";"77,77778";"77,77778";"77,77778"
"26";"tic-tac-toe";"73,95833";"74,2268";"73,68421";"75";"73,95833"
"27";"twonorm";"98,10555";"98,10555";"98,10555";"98,11066";"98,10555"
"28";"hill-valley-with-noise";"53,27869";"55,7377";"63,33333";"63,33333";"63,33333"
"29";"balance-scale";"74,19355";"82,25806";"87,30159";"88,88889";"87,30159"
"30";"car";"70,76023";"71,34503";"71,92982";"72,83237";"75,14451"
