"";"V1";"V2";"V3";"V4";"V5";"V6"
"1";"iris";"33,33333";"100";"100";"100";"100"
"2";"bupa";"70,58824";"71,42857";"65,71429";"68,57143";"68,57143"
"3";"segment";"88,74459";"92,64069";"94,37229";"94,80519";"95,671"
"4";"waveform-5000";"76,2";"72,34469";"75,8";"74,5491";"74,8"
"5";"phishingData";"92,48869";"93,49005";"93,66516";"94,29864";"94,47964"
"6";"mushroom";"99,754";"100";"100";"100";"100"
"7";"pima";"76,31579";"84,21053";"84,41558";"82,89474";"79,22078"
"8";"vehicle";"54,11765";"63,52941";"71,08434";"70,58824";"67,46988"
"9";"wilt";"98,1405";"98,13665";"97,30849";"97,72257";"98,1405"
"10";"kr-vs-kp";"95,625";"96,23824";"98,125";"98,4375";"98,74608"
"11";"blood-transfusion-service";"77,02703";"77,33333";"78,66667";"77,33333";"77,02703"
"12";"cnae-9";"64,81481";"79,62963";"81,48148";"83,33333";"87,03704"
"13";"connectionist-mines-vs-rocks";"66,66667";"90";"85,71429";"95";"80,95238"
"14";"flare";"76,59574";"78,7234";"75,18248";"78,10219";"78,7234"
"15";"indian-liver-patient";"72,41379";"72,41379";"72,41379";"72,88136";"72,41379"
"16";"leukemia-haslinger";"50";"80";"80";"80";"81,81818"
"17";"mammographic-mass";"84,375";"86,45833";"87,5";"85,41667";"88,54167"
"18";"mfeat-karhunen";"63,5";"66,5";"69,5";"70";"78"
"19";"musk";"98,02731";"99,09091";"99,69697";"99,54545";"100"
"20";"ozone-onehr";"97,24409";"97,24409";"97,24409";"97,24409";"97,24409"
"21";"pendigits";"85,79235";"89,61749";"92,09091";"93";"93,81818"
"22";"planning-relax";"72,22222";"72,22222";"72,22222";"72,22222";"72,22222"
"23";"seeds";"61,90476";"95,2381";"90,47619";"95,2381";"90,47619"
"24";"semeion";"49,0566";"51,89873";"58,86076";"63,92405";"64,55696"
"25";"spectf-heart";"74,28571";"80";"80";"80";"88,57143"
"26";"tic-tac-toe";"71,875";"75";"80,20833";"85,41667";"91,66667"
"27";"twonorm";"79,97294";"79,86486";"82,97297";"83,51351";"83,76184"
"28";"hill-valley-with-noise";"55";"57,37705";"59,01639";"59,01639";"52,45902"
"29";"balance-scale";"66,66667";"70,4918";"77,77778";"80,95238";"79,36508"
"30";"car";"86,2069";"86,04651";"92,44186";"96,51163";"94,76744"
