"";"V1";"V2";"V3";"V4";"V5";"V6"
"1";"iris";"93,333332";"92,666667";"93,999999";"95,333333";"95,333334"
"2";"bupa";"56,210086";"55,941177";"53,336135";"55,319329";"57,084032"
"3";"segment";"84,718614";"91,47186";"92,467531";"92,72727";"93,203462"
"4";"waveform-5000";"78,385215";"81,999638";"82,261077";"84,380563";"84,260602"
"5";"phishingData";"90,927218";"92,609633";"93,505241";"93,839888";"94,626817"
"6";"mushroom";"82,237971";"83,222542";"83,284118";"83,308748";"83,308733"
"7";"pima";"67,450445";"69,654819";"69,784688";"68,354408";"70,565619"
"8";"vehicle";"53,299916";"57,678263";"59,927724";"60,172855";"63,472738"
"9";"wilt";"94,441117";"94,08928";"94,358688";"94,296319";"94,399452"
"10";"kr-vs-kp";"77,816615";"82,603351";"84,042908";"86,672021";"87,767045"
"11";"blood-transfusion-service";"73,927929";"74,331532";"77,407208";"77,80901";"77,126126"
"12";"cnae-9";"48,240742";"56,11111";"66,48148";"66,388889";"71,944444"
"13";"connectionist-mines-vs-rocks";"59,034632";"63,863637";"62,935064";"67,320347";"73,924242"
"14";"flare";"66,167539";"65,957939";"66,75507";"68,925922";"71,135524"
"15";"indian-liver-patient";"68,94214";"68,597312";"68,974285";"68,457045";"69,126243"
"16";"leukemia-haslinger";"74,363636";"79,777778";"82,181818";"81,070707";"83,888889"
"17";"mammographic-mass";"77,430344";"77,729958";"79,090636";"78,768336";"78,250836"
"18";"mfeat-karhunen";"83,85";"89,7";"91,4";"93,5";"92,65"
"19";"musk";"93,088609";"94,619327";"96,119786";"97,150641";"97,423437"
"20";"ozone-onehr";"96,372792";"96,252819";"96,806334";"96,92429";"96,727904"
"21";"pendigits";"96,26114";"97,54378";"98,435312";"98,781022";"98,680849"
"22";"planning-relax";"67,046782";"67,573099";"65,438597";"67,573099";"68,68421"
"23";"seeds";"87,619049";"87,619049";"88,09524";"90,952383";"90,000002"
"24";"semeion";"70,31758";"78,340933";"85,181401";"85,31386";"86,316621"
"25";"spectf-heart";"66,195146";"68,161999";"70,456582";"71,609244";"72,434173"
"26";"tic-tac-toe";"72,428185";"84,660891";"90,496553";"91,132447";"93,110565"
"27";"twonorm";"97,405476";"97,29724";"97,405623";"97,337962";"97,486667"
"28";"hill-valley-with-noise";"49,424232";"49,688434";"49,821716";"49,07929";"51,235706"
"29";"balance-scale";"81,294435";"85,905292";"85,748953";"88,007605";"87,830619"
"30";"car";"72,633161";"75,465927";"77,14596";"78,357206";"79,749197"
