"";"V1";"V2";"V3";"V4";"V5";"V6"
"1";"iris";"51,333332";"74,666666";"91,999999";"89,333333";"90,666666"
"2";"bupa";"52,504202";"61,436976";"58,848741";"59,983193";"58,84874"
"3";"segment";"71,645021";"81,168832";"84,372294";"87,229438";"89,04762"
"4";"waveform-5000";"67,720084";"66,278453";"69,116863";"72,199614";"75,037183"
"5";"phishingData";"91,288629";"92,039675";"92,437596";"92,95313";"93,28803"
"6";"mushroom";"84,293915";"82,164402";"82,251413";"81,881499";"81,881499"
"7";"pima";"65,903963";"67,588859";"71,613123";"70,317839";"73,036569"
"8";"vehicle";"41,635943";"49,249443";"58,520194";"60,300405";"61,807466"
"9";"wilt";"96,652375";"96,735362";"97,169034";"97,230846";"97,788784"
"10";"kr-vs-kp";"93,27312";"94,025275";"96,214732";"97,246276";"96,934658"
"11";"blood-transfusion-service";"75,538739";"75,378377";"76,336937";"75,670271";"74,338739"
"12";"cnae-9";"51,666667";"64,074075";"68,425925";"72,500001";"75,277776"
"13";"connectionist-mines-vs-rocks";"58,805194";"67,95671";"66,954545";"67,818183";"67,372294"
"14";"flare";"57,654803";"62,622055";"64,864792";"67,531302";"68,401917"
"15";"indian-liver-patient";"66,58351";"67,766516";"70,347597";"66,500149";"70,005485"
"16";"leukemia-haslinger";"49";"57";"71";"65";"52"
"17";"mammographic-mass";"80,629997";"79,293012";"80,546369";"81,145459";"82,281629"
"18";"mfeat-karhunen";"43,85";"52,3";"60,1";"66,75";"69,4"
"19";"musk";"88,814847";"93,39148";"95,680599";"95,862485";"96,877962"
"20";"ozone-onehr";"96,411087";"96,727916";"96,688078";"96,569035";"96,726358"
"21";"pendigits";"72,599858";"83,97941";"87,418585";"89,765756";"91,76708"
"22";"planning-relax";"65,350876";"69,79532";"70,906431";"70,409356";"71,461986"
"23";"seeds";"65,238096";"79,047621";"84,285718";"82,857145";"85,714287"
"24";"semeion";"32,746626";"41,490711";"48,5323";"53,236341";"59,133185"
"25";"spectf-heart";"65,714285";"71,204947";"69,90476";"73,689074";"75,091969"
"26";"tic-tac-toe";"66,161649";"69,218552";"83,193899";"94,271795";"95,528261"
"27";"twonorm";"79,876856";"81,215699";"82,405636";"83,364896";"84,135274"
"28";"hill-valley-with-noise";"50,568384";"50,409136";"51,229441";"51,233572";"51,241069"
"29";"balance-scale";"64,325417";"67,689559";"69,734625";"75,06052";"77,253742"
"30";"car";"69,15984";"72,049659";"74,423805";"76,851296";"79,283837"
