"";"V1";"V2";"V3";"V4";"V5";"V6"
"1";"iris";"79,999998";"92";"93,333333";"93,999999";"92,666666"
"2";"bupa";"56,554622";"49,806723";"54,537814";"51,865545";"49,008402"
"3";"segment";"72,987013";"70,17316";"71,21212";"71,558441";"72,164501"
"4";"waveform-5000";"76,099988";"76,420268";"76,540028";"76,859869";"77,319631"
"5";"phishingData";"92,745222";"92,826769";"92,736345";"92,70008";"92,772454"
"6";"mushroom";"90,620108";"92,122118";"92,478973";"92,762118";"92,725173"
"7";"pima";"67,199247";"69,533493";"70,189678";"71,751537";"72,269309"
"8";"vehicle";"41,134441";"40,403113";"37,84344";"40,763593";"39,015167"
"9";"wilt";"93,635546";"92,207275";"93,696588";"92,395701";"91,838109"
"10";"kr-vs-kp";"63,70288";"64,861874";"66,643417";"66,361678";"67,770867"
"11";"blood-transfusion-service";"72,329731";"67,509911";"71,922523";"68,437839";"71,389189"
"12";"cnae-9";"13,888888";"22,592591";"20,000001";"24,537037";"26,851852"
"13";"connectionist-mines-vs-rocks";"59,595239";"59,595239";"62,119047";"58,190477";"61,119047"
"14";"flare";"42,92907";"39,025506";"37,361514";"39,64507";"36,652859"
"15";"indian-liver-patient";"51,972889";"53,687952";"52,480955";"52,522583";"54,389605"
"16";"leukemia-haslinger";"61";"85";"86";"85";"86"
"17";"mammographic-mass";"77,515046";"77,201448";"77,732084";"76,997412";"78,146579"
"18";"mfeat-karhunen";"86,55";"89,4";"90,15";"90,5";"90,9"
"19";"musk";"72,078279";"75,371097";"75,735812";"75,280511";"74,326171"
"20";"ozone-onehr";"81,157845";"67,355547";"66,602233";"65,506067";"67,312298"
"21";"pendigits";"79,41144";"78,88532";"82,26158";"81,542298";"80,7601"
"22";"planning-relax";"66,461988";"68,74269";"63,099414";"57,192981";"63,654972"
"23";"seeds";"83,809525";"87,142858";"89,047622";"88,095239";"90,476191"
"24";"semeion";"67,595691";"72,567738";"75,905582";"77,721948";"76,6465"
"25";"spectf-heart";"74,790849";"70,724556";"68,150793";"64,696545";"64,091503"
"26";"tic-tac-toe";"66,180457";"67,414304";"67,848425";"69,092966";"68,792436"
"27";"twonorm";"97,810846";"97,797351";"97,810882";"97,797296";"97,810884"
"28";"hill-valley-with-noise";"48,088775";"49,825802";"51,50955";"50,599727";"50,179673"
"29";"balance-scale";"60,806452";"69,290834";"78,238608";"78,061955";"81,761394"
"30";"car";"70,139609";"70,313695";"70,776799";"71,817938";"72,512932"
