"";"V1";"V2";"V3";"V4";"V5";"V6"
"1";"iris";"33,33333";"91,333334";"91,333332";"92";"89,999999"
"2";"bupa";"59,151262";"59,411766";"59,42017";"59,69748";"58,193278"
"3";"segment";"84,848483";"89,307359";"90,25974";"91,64502";"91,991341"
"4";"waveform-5000";"68,85772";"68,399874";"71,183796";"72,222326";"72,639494"
"5";"phishingData";"91,134902";"91,813546";"92,727295";"93,016749";"93,595755"
"6";"mushroom";"99,199765";"99,655143";"99,655248";"99,802987";"99,852263"
"7";"pima";"67,725562";"67,987011";"72,130895";"71,237184";"71,3568"
"8";"vehicle";"46,472997";"52,888002";"61,357012";"63,016611";"60,6579"
"9";"wilt";"96,03267";"96,859286";"96,776386";"96,879863";"97,168864"
"10";"kr-vs-kp";"93,678569";"93,649969";"96,08904";"96,496076";"97,310145"
"11";"blood-transfusion-service";"76,205406";"74,718919";"76,472073";"75,803604";"75"
"12";"cnae-9";"52,962963";"67,500001";"72,500001";"75,833334";"77,777779"
"13";"connectionist-mines-vs-rocks";"54,785713";"66,404762";"64,833334";"62,619048";"67,761905"
"14";"flare";"69,910421";"70,468309";"71,639597";"73,079704";"72,935856"
"15";"indian-liver-patient";"69,790365";"69,463585";"70,667559";"71,526706";"71,357214"
"16";"leukemia-haslinger";"48,989899";"60,010101";"68,141414";"61,121212";"59,626262"
"17";"mammographic-mass";"77,235463";"81,285076";"82,106596";"82,309538";"81,995942"
"18";"mfeat-karhunen";"54,05";"59,45";"64,75";"66,85";"70,95"
"19";"musk";"96,393111";"98,711728";"98,984432";"99,226947";"99,530117"
"20";"ozone-onehr";"97,121624";"97,121624";"97,121624";"97,121624";"97,121624"
"21";"pendigits";"81,479159";"87,400087";"89,67453";"90,929335";"92,103559"
"22";"planning-relax";"71,461986";"69,824559";"70,906431";"68,684209";"71,461986"
"23";"seeds";"36,190473";"84,285717";"81,428572";"88,09524";"84,761905"
"24";"semeion";"39,818141";"47,830897";"51,673101";"56,813979";"59,635575"
"25";"spectf-heart";"70,796916";"73,646123";"72,233426";"73,646123";"75,639121"
"26";"tic-tac-toe";"66,177631";"69,833334";"69,619516";"78,607455";"82,786184"
"27";"twonorm";"75,311203";"76,757662";"80,202589";"80,689095";"80,959695"
"28";"hill-valley-with-noise";"50,984984";"51,241746";"53,033417";"52,213723";"49,915979"
"29";"balance-scale";"59,992867";"65,62573";"64,962227";"72,300161";"72,64595"
"30";"car";"78,170696";"82,113091";"88,079321";"90,340361";"91,09248"
