"";"V1";"V2";"V3";"V4";"V5";"V6"
"1";"iris";"80";"80";"80";"80";"86,66667"
"2";"bupa";"44,11765";"41,17647";"38,23529";"44,11765";"41,17647"
"3";"segment";"80,51948";"90,04329";"90,47619";"89,61039";"90,90909"
"4";"waveform-5000";"68,7251";"78,2";"80,2";"82,6";"82,2"
"5";"phishingData";"89,60217";"91,68174";"92,85714";"93,12839";"94,02715"
"6";"mushroom";"80,1968";"81,7734";"81,7734";"82,0197";"82,0197"
"7";"pima";"55,84416";"62,33766";"63,63636";"62,33766";"64,47368"
"8";"vehicle";"42,85714";"45,2381";"52,38095";"48,23529";"58,33333"
"9";"wilt";"93,80165";"92,54658";"92,7686";"92,7686";"92,96066"
"10";"kr-vs-kp";"74,375";"77,1875";"79,375";"83,125";"83,125"
"11";"blood-transfusion-service";"68";"70,27027";"72";"74,66667";"70,27027"
"12";"cnae-9";"21,2963";"40,74074";"52,77778";"49,07407";"66,66667"
"13";"connectionist-mines-vs-rocks";"47,61905";"55";"42,85714";"52,38095";"52,38095"
"14";"flare";"60,71429";"60,71429";"60,71429";"61,42857";"65,94203"
"15";"indian-liver-patient";"60,34483";"58,62069";"57,62712";"57,62712";"61,01695"
"16";"leukemia-haslinger";"50";"60";"70";"70";"60"
"17";"mammographic-mass";"68,04124";"68,75";"75";"70,52632";"73,95833"
"18";"mfeat-karhunen";"80";"86";"87,5";"90,5";"89"
"19";"musk";"91,66667";"92,71624";"94,69697";"95,90288";"96,51515"
"20";"ozone-onehr";"94,4664";"94,07115";"96,44269";"96,04743";"94,48819"
"21";"pendigits";"94,4495";"96,90909";"97,90909";"97,81818";"98,36364"
"22";"planning-relax";"61,11111";"55,55556";"36,84211";"55,55556";"55,55556"
"23";"seeds";"66,66667";"76,19048";"80,95238";"76,19048";"76,19048"
"24";"semeion";"61,63522";"71,69811";"80,50314";"82,5";"82,5"
"25";"spectf-heart";"51,42857";"58,82353";"61,76471";"62,85714";"57,14286"
"26";"tic-tac-toe";"65,625";"79,16667";"83,15789";"87,5";"90,52632"
"27";"twonorm";"96,48173";"96,48173";"96,48649";"96,76113";"96,62618"
"28";"hill-valley-with-noise";"44,16667";"42,62295";"42,5";"38,33333";"44,6281"
"29";"balance-scale";"66,66667";"80,32787";"77,04918";"84,12698";"81,96721"
"30";"car";"69,54023";"70,93023";"74,13793";"75,72254";"78,16092"
