"";"V1";"V2";"V3";"V4";"V5";"V6"
"1";"iris";"33,33333";"53,33333";"73,33333";"73,33333";"60"
"2";"bupa";"31,42857";"51,42857";"45,71429";"44,11765";"51,42857"
"3";"segment";"64,50216";"74,45887";"80,95238";"82,68398";"86,14719"
"4";"waveform-5000";"63,8";"57,6";"60,8";"66,2";"68,73747"
"5";"phishingData";"89,68326";"88,23529";"91,40271";"91,40271";"92,30769"
"6";"mushroom";"80,4428";"80,1968";"80,1968";"80,1968";"80,1968"
"7";"pima";"58,44156";"55,84416";"63,63636";"57,14286";"65,78947"
"8";"vehicle";"26,19048";"34,52381";"53,57143";"52,94118";"54,7619"
"9";"wilt";"95,86777";"95,05155";"95,86777";"96,4876";"97,31405"
"10";"kr-vs-kp";"90,3125";"90,625";"95";"95,92476";"95,625"
"11";"blood-transfusion-service";"69,33333";"59,45946";"72,97297";"67,56757";"64"
"12";"cnae-9";"38,88889";"57,40741";"61,11111";"69,44444";"67,59259"
"13";"connectionist-mines-vs-rocks";"33,33333";"52,38095";"52,38095";"57,14286";"42,85714"
"14";"flare";"52,51799";"49,27536";"57,55396";"59,28571";"58,57143"
"15";"indian-liver-patient";"57,62712";"50,84746";"64,40678";"45,61404";"61,01695"
"16";"leukemia-haslinger";"40";"30";"60";"40";"30"
"17";"mammographic-mass";"72,63158";"68,04124";"67,01031";"72,91667";"72,63158"
"18";"mfeat-karhunen";"34,5";"49,5";"54";"59,5";"63,5"
"19";"musk";"86,21212";"91,51515";"94,84848";"92,12121";"95,15152"
"20";"ozone-onehr";"92,09486";"95,27559";"95,66929";"94,07115";"95,65217"
"21";"pendigits";"67,81818";"80,16379";"84,62238";"88,08007";"90,44586"
"22";"planning-relax";"38,88889";"61,11111";"66,66667";"57,89474";"68,42105"
"23";"seeds";"57,14286";"61,90476";"76,19048";"47,61905";"76,19048"
"24";"semeion";"23,56688";"35";"41,25";"47,16981";"53,45912"
"25";"spectf-heart";"27,77778";"47,22222";"54,28571";"51,42857";"60"
"26";"tic-tac-toe";"51,57895";"55,20833";"64,58333";"87,5";"88,65979"
"27";"twonorm";"72,9364";"73,10811";"79,59459";"80,94595";"82,05128"
"28";"hill-valley-with-noise";"42,14876";"46,72131";"45";"45,45455";"46,72131"
"29";"balance-scale";"41,93548";"50";"58,06452";"67,74194";"65,57377"
"30";"car";"64,53488";"63,74269";"69,76744";"70,52023";"73,98844"
