"";"V1";"V2";"V3";"V4";"V5";"V6"
"1";"iris";"66,66667";"86,66667";"86,66667";"73,33333";"86,66667"
"2";"bupa";"42,85714";"38,23529";"42,85714";"41,17647";"35,29412"
"3";"segment";"65,80087";"65,80087";"67,53247";"67,53247";"69,26407"
"4";"waveform-5000";"73,4";"74,6";"74,2";"75,2";"74,8"
"5";"phishingData";"91,66667";"91,59132";"91,41049";"91,41049";"91,68174"
"6";"mushroom";"87,93103";"89,6679";"91,00985";"91,62562";"91,25616"
"7";"pima";"54,54545";"61,03896";"58,44156";"66,23377";"66,23377"
"8";"vehicle";"34,11765";"36,47059";"34,11765";"33,33333";"37,2093"
"9";"wilt";"92,56198";"81,36646";"91,09731";"89,27835";"87,80992"
"10";"kr-vs-kp";"56,42633";"61,44201";"60,50157";"60,18809";"62,06897"
"11";"blood-transfusion-service";"62,66667";"41,33333";"66,66667";"56";"65,33333"
"12";"cnae-9";"11,11111";"13,88889";"12,03704";"14,81481";"12,03704"
"13";"connectionist-mines-vs-rocks";"47,61905";"42,85714";"42,85714";"38,09524";"52,38095"
"14";"flare";"31,88406";"28,98551";"30,43478";"28,26087";"32,6087"
"15";"indian-liver-patient";"43,10345";"48,27586";"44,82759";"44,82759";"45,76271"
"16";"leukemia-haslinger";"30";"60";"70";"80";"80"
"17";"mammographic-mass";"71,57895";"68,42105";"75";"70,52632";"73,68421"
"18";"mfeat-karhunen";"81,5";"84,5";"85";"84,5";"87,5"
"19";"musk";"57,72727";"71,16844";"70";"69,24242";"69,3475"
"20";"ozone-onehr";"71,5415";"57,31225";"58,89328";"54,5098";"63,63636"
"21";"pendigits";"75,70519";"74,72727";"75,77132";"76,22505";"76,54545"
"22";"planning-relax";"27,77778";"50";"44,44444";"33,33333";"55,55556"
"23";"seeds";"71,42857";"76,19048";"80,95238";"80,95238";"80,95238"
"24";"semeion";"55,625";"63,125";"69,81132";"72,67081";"74,21384"
"25";"spectf-heart";"62,85714";"54,28571";"60";"51,42857";"51,42857"
"26";"tic-tac-toe";"60,41667";"60";"57,89474";"64,21053";"64,58333"
"27";"twonorm";"97,43243";"97,43243";"97,43243";"97,2973";"97,56757"
"28";"hill-valley-with-noise";"37,5";"37,5";"44,2623";"44,2623";"44,2623"
"29";"balance-scale";"50";"61,29032";"67,74194";"62,90323";"72,58065"
"30";"car";"69,9422";"69,9422";"69,9422";"70,52023";"70,52023"
