
"";"V1";"V2";"V3";"V4";"V5";"V6"
"1";"iris";"33,33333";"66,66667";"73,33333";"66,66667";"66,66667"
"2";"bupa";"55,88235";"52,94118";"45,71429";"55,88235";"47,05882"
"3";"segment";"81,38528";"83,98268";"88,31169";"88,74459";"88,74459"
"4";"waveform-5000";"59,4";"64,32866";"65,66866";"67,66467";"68,93788"
"5";"phishingData";"89,13043";"89,15009";"90,95023";"92,1267";"92,1267"
"6";"mushroom";"98,15271";"98,52035";"98,89026";"99,38424";"99,50678"
"7";"pima";"58,44156";"50,64935";"65,78947";"61,03896";"63,63636"
"8";"vehicle";"36,47059";"36,04651";"51,19048";"52,94118";"51,76471"
"9";"wilt";"94,6281";"94,83471";"96,07438";"95,24793";"96,28099"
"10";"kr-vs-kp";"91,50943";"90,3125";"94,375";"94,375";"95,625"
"11";"blood-transfusion-service";"76";"62,16216";"74,66667";"72";"70,66667"
"12";"cnae-9";"39,81481";"54,62963";"63,88889";"63,88889";"63,88889"
"13";"connectionist-mines-vs-rocks";"50";"55";"52,38095";"47,61905";"52,38095"
"14";"flare";"63,30935";"66,18705";"68,34532";"69,28571";"68,34532"
"15";"indian-liver-patient";"63,15789";"53,44828";"65,51724";"70,68966";"70,68966"
"16";"leukemia-haslinger";"44,44444";"50";"50";"30";"40"
"17";"mammographic-mass";"53,60825";"68,04124";"75";"77,08333";"73,95833"
"18";"mfeat-karhunen";"41";"54";"59,5";"61,5";"61,5"
"19";"musk";"94,54545";"98,18182";"98,48485";"98,3308";"98,93778"
"20";"ozone-onehr";"96,85039";"96,85039";"96,85039";"96,85039";"96,85039"
"21";"pendigits";"77,16106";"85,80528";"88,44404";"89,07104";"90,34608"
"22";"planning-relax";"68,42105";"61,11111";"66,66667";"61,11111";"68,42105"
"23";"seeds";"33,33333";"66,66667";"71,42857";"66,66667";"76,19048"
"24";"semeion";"30,625";"41,77215";"40,625";"47,16981";"51,25"
"25";"spectf-heart";"54,28571";"71,42857";"63,88889";"71,42857";"71,42857"
"26";"tic-tac-toe";"64,58333";"63,54167";"64,58333";"67,70833";"70,83333"
"27";"twonorm";"71,25506";"73,54926";"79,02571";"78,2138";"79,18919"
"28";"hill-valley-with-noise";"46,66667";"41,80328";"43,33333";"47,5";"47,10744"
"29";"balance-scale";"54,83871";"55,55556";"52,38095";"62,90323";"61,29032"
"30";"car";"70,34884";"76,16279";"82,08092";"86,12717";"87,28324"
