"";"V1";"V2";"V3";"V4";"V5";"V6"
"1";"iris";"100";"100";"100";"100";"100"
"2";"bupa";"65,71429";"73,52941";"65,71429";"65,71429";"73,52941"
"3";"segment";"91,34199";"91,34199";"96,1039";"95,2381";"94,80519"
"4";"waveform-5000";"73,6";"79,6";"81";"79,8";"79,6"
"5";"phishingData";"93,03167";"93,39964";"94,66063";"95,56561";"96,0217"
"6";"mushroom";"84,37884";"84,97537";"84,85222";"84,97537";"84,97537"
"7";"pima";"77,92208";"79,22078";"79,22078";"76,62338";"75"
"8";"vehicle";"61,17647";"67,46988";"68,23529";"68,60465";"68,23529"
"9";"wilt";"94,61698";"95,04132";"94,83471";"95,66116";"95,04132"
"10";"kr-vs-kp";"83,0721";"86,52038";"86,5625";"91,5625";"90,28213"
"11";"blood-transfusion-service";"77,33333";"80";"81,08108";"82,43243";"84"
"12";"cnae-9";"55,55556";"70,37037";"71,2963";"76,85185";"80,55556"
"13";"connectionist-mines-vs-rocks";"71,42857";"81,81818";"71,42857";"80";"90,90909"
"14";"flare";"70,71429";"75";"74,63768";"78,57143";"75,53957"
"15";"indian-liver-patient";"71,18644";"77,9661";"74,57627";"76,27119";"79,66102"
"16";"leukemia-haslinger";"100";"90";"100";"100";"100"
"17";"mammographic-mass";"81,4433";"82,29167";"81,4433";"83,50515";"83,33333"
"18";"mfeat-karhunen";"90";"93";"95";"95";"96,5"
"19";"musk";"94,39394";"96,21212";"98,18182";"98,48255";"98,63429"
"20";"ozone-onehr";"97,24409";"97,24409";"97,62846";"97,24409";"97,6378"
"21";"pendigits";"97,27273";"98,72495";"99,2714";"99";"99,54463"
"22";"planning-relax";"77,77778";"77,77778";"83,33333";"77,77778";"77,77778"
"23";"seeds";"100";"100";"100";"95,2381";"100"
"24";"semeion";"80,12821";"85,71429";"89,30818";"89,30818";"91,25"
"25";"spectf-heart";"85,29412";"76,47059";"76,47059";"85,29412";"86,11111"
"26";"tic-tac-toe";"78,94737";"86,45833";"81,25";"83,33333";"83,50515"
"27";"twonorm";"98,51552";"97,97571";"98,38057";"98,38057";"98,65047"
"28";"hill-valley-with-noise";"57,37705";"63,63636";"61,98347";"58,19672";"58,19672"
"29";"balance-scale";"90,47619";"90,16393";"90,16393";"91,93548";"88,52459"
"30";"car";"72,83237";"73,98844";"75,28736";"74,56647";"72,25434"
