"";"V1";"V2";"V3";"V4";"V5";"V6"
"1";"iris";"73,33333";"100";"93,33333";"100";"100"
"2";"bupa";"68,57143";"68,57143";"70,58824";"70,58824";"61,76471"
"3";"segment";"83,54978";"90,47619";"90,47619";"92,20779";"93,07359"
"4";"waveform-5000";"72,74549";"72,14429";"77,35471";"76";"78,55711"
"5";"phishingData";"93,12839";"93,12839";"94,03255";"93,85172";"95,11754"
"6";"mushroom";"83,76384";"84,95684";"85,09852";"86,34686";"84,71023"
"7";"pima";"81,81818";"80,51948";"76,62338";"79,22078";"85,71429"
"8";"vehicle";"68,23529";"64,70588";"72,94118";"68,23529";"67,05882"
"9";"wilt";"97,51553";"97,73196";"98,1405";"98,35052";"98,34711"
"10";"kr-vs-kp";"95,3125";"97,1875";"96,875";"97,5";"98,74608"
"11";"blood-transfusion-service";"76";"80";"80";"78,66667";"81,33333"
"12";"cnae-9";"58,33333";"70,37037";"75,92593";"80,55556";"84,25926"
"13";"connectionist-mines-vs-rocks";"71,42857";"80";"80,95238";"85,71429";"76,19048"
"14";"flare";"77,14286";"70,71429";"69,56522";"67,3913";"71,42857"
"15";"indian-liver-patient";"72,41379";"76,27119";"74,57627";"76,27119";"77,19298"
"16";"leukemia-haslinger";"50";"90";"90";"80";"80"
"17";"mammographic-mass";"85,56701";"89,58333";"89,58333";"85,56701";"88,54167"
"18";"mfeat-karhunen";"51";"58,5";"63,5";"71,5";"75"
"19";"musk";"92,57576";"96,20637";"97,42033";"98,0303";"98,0303"
"20";"ozone-onehr";"97,24409";"97,24409";"98,02372";"97,24409";"97,24409"
"21";"pendigits";"76,60925";"88,27273";"91,06655";"93,5278";"93,16317"
"22";"planning-relax";"72,22222";"72,22222";"77,77778";"72,22222";"72,22222"
"23";"seeds";"90,47619";"80,95238";"90,47619";"95,2381";"90,47619"
"24";"semeion";"36,25";"45,91195";"52,5";"61,39241";"64,15094"
"25";"spectf-heart";"73,52941";"80";"82,85714";"91,42857";"80"
"26";"tic-tac-toe";"72,91667";"81,25";"93,75";"98,95833";"100"
"27";"twonorm";"83,26586";"85,4251";"85,56005";"87,58435";"87,83784"
"28";"hill-valley-with-noise";"56,19835";"55,3719";"58,67769";"56,19835";"57,02479"
"29";"balance-scale";"75,80645";"77,41935";"84,12698";"84,12698";"84,12698"
"30";"car";"76,87861";"80,34682";"80,92486";"85,63218";"84,39306"
