"";"V1";"V2";"V3";"V4";"V5";"V6"
"1";"iris";"100";"100";"100";"100";"100"
"2";"bupa";"62,85714";"57,14286";"58,82353";"62,85714";"58,82353"
"3";"segment";"79,65368";"74,89177";"75,32468";"75,32468";"73,59307"
"4";"waveform-5000";"77,15431";"77,75551";"77,8";"78,35671";"78,35671"
"5";"phishingData";"93,39964";"93,58047";"93,39964";"93,39964";"93,58047"
"6";"mushroom";"92,73399";"93,71921";"93,2266";"93,84994";"93,34975"
"7";"pima";"80,51948";"79,22078";"76,62338";"75,32468";"77,92208"
"8";"vehicle";"48,80952";"45,34884";"47,05882";"49,41176";"48,23529"
"9";"wilt";"94,42149";"94,6281";"94,42149";"94,6281";"95,45455"
"10";"kr-vs-kp";"70";"68,4375";"69,0625";"69,279";"70,625"
"11";"blood-transfusion-service";"80";"77,33333";"80";"78,66667";"77,33333"
"12";"cnae-9";"39,81481";"28,7037";"52,77778";"33,33333";"39,81481"
"13";"connectionist-mines-vs-rocks";"66,66667";"85,71429";"76,19048";"71,42857";"76,19048"
"14";"flare";"52,55474";"46,71533";"47,48201";"58,27338";"59,12409"
"15";"indian-liver-patient";"63,7931";"59,32203";"62,71186";"63,7931";"66,10169"
"16";"leukemia-haslinger";"88,88889";"90";"100";"90";"100"
"17";"mammographic-mass";"84,53608";"84,53608";"85,56701";"85,56701";"84,375"
"18";"mfeat-karhunen";"93";"93,5";"93,5";"92,5";"94,5"
"19";"musk";"80";"82,42424";"82,12121";"79,69697";"81,06061"
"20";"ozone-onehr";"89,37008";"79,44664";"76,37795";"70,47244";"69,68504"
"21";"pendigits";"85,6102";"83,51548";"85,15483";"86,06557";"86,61202"
"22";"planning-relax";"77,77778";"72,22222";"83,33333";"78,94737";"72,22222"
"23";"seeds";"90,47619";"100";"95,2381";"100";"100"
"24";"semeion";"68,32298";"76,875";"80";"81,76101";"79,74684"
"25";"spectf-heart";"83,33333";"82,35294";"82,85714";"76,47059";"79,41176"
"26";"tic-tac-toe";"68,42105";"71,57895";"74,73684";"73,68421";"74,73684"
"27";"twonorm";"98,24561";"98,11066";"98,24561";"98,11066";"98,11066"
"28";"hill-valley-with-noise";"57,5";"58,33333";"58,33333";"58,33333";"57,85124"
"29";"balance-scale";"68,25397";"74,60317";"72,58065";"80,95238";"77,77778"
"30";"car";"70,76023";"70,76023";"70,76023";"70,76023";"70,76023"
