"";"V1";"V2";"V3";"V4";"V5";"V6"
"1";"iris";"33,33333";"100";"100";"100";"100"
"2";"bupa";"70,58824";"64,70588";"67,64706";"76,47059";"76,47059"
"3";"segment";"92,20779";"90,47619";"93,93939";"93,93939";"94,80519"
"4";"waveform-5000";"73,4";"75,4491";"74,4";"79,8";"77,6"
"5";"phishingData";"94,48463";"93,12839";"94,12297";"95,38879";"95,20796"
"6";"mushroom";"99,754";"99,754";"100";"100";"100"
"7";"pima";"79,22078";"77,63158";"76,62338";"79,22078";"77,92208"
"8";"vehicle";"58,82353";"65,88235";"67,85714";"67,85714";"72,94118"
"9";"wilt";"96,90722";"98,34711";"98,1405";"98,34711";"98,1405"
"10";"kr-vs-kp";"96,25";"97,1875";"98,75";"99,0625";"99,0625"
"11";"blood-transfusion-service";"80";"77,02703";"77,02703";"78,66667";"81,08108"
"12";"cnae-9";"66,66667";"75,92593";"76,85185";"83,33333";"87,96296"
"13";"connectionist-mines-vs-rocks";"61,90476";"76,19048";"76,19048";"80,95238";"76,19048"
"14";"flare";"73,38129";"76,08696";"74,82014";"76,25899";"77,69784"
"15";"indian-liver-patient";"71,92982";"72,41379";"72,41379";"72,41379";"72,41379"
"16";"leukemia-haslinger";"50";"100";"88,88889";"81,81818";"100"
"17";"mammographic-mass";"88,65979";"91,57895";"88,65979";"88,65979";"87,62887"
"18";"mfeat-karhunen";"58,5";"71";"71,5";"72,5";"75,5"
"19";"musk";"98,78604";"99,24357";"99,84848";"99,84871";"99,84848"
"20";"ozone-onehr";"97,24409";"97,24409";"97,24409";"97,24409";"97,24409"
"21";"pendigits";"85,72727";"89,15223";"91,18983";"91,37931";"92,70073"
"22";"planning-relax";"72,22222";"72,22222";"72,22222";"72,22222";"72,22222"
"23";"seeds";"33,33333";"95,2381";"95,2381";"100";"95,2381"
"24";"semeion";"51,875";"60,12658";"59,49367";"61,25";"66,25"
"25";"spectf-heart";"77,77778";"79,41176";"75";"85,29412";"85,29412"
"26";"tic-tac-toe";"68,75";"78,125";"79,16667";"86,45833";"93,75"
"27";"twonorm";"78,2726";"80,27027";"81,48649";"81,89189";"84,45946"
"28";"hill-valley-with-noise";"58,19672";"55,7377";"57,37705";"57,85124";"57,02479"
"29";"balance-scale";"74,60317";"79,36508";"77,77778";"79,36508";"82,53968"
"30";"car";"84,88372";"89,08046";"93,10345";"93,10345";"94,25287"
