"";"V1";"V2";"V3";"V4";"V5";"V6"
"1";"iris";"86,666667";"92,666666";"93,999999";"95,333332";"94,666665"
"2";"bupa";"53,067227";"58,831933";"52,168068";"58,319329";"62,033613"
"3";"segment";"88,22511";"90,17316";"92,380951";"92,943721";"93,07359"
"4";"waveform-5000";"69,300189";"73,681078";"75,459959";"75,98";"77,320443"
"5";"phishingData";"91,587661";"92,546431";"93,252092";"93,957549";"94,30122"
"6";"mushroom";"82,163852";"82,865898";"83,296448";"83,333393";"83,333423"
"7";"pima";"68,745726";"70,30075";"67,961381";"70,041011";"68,366371"
"8";"vehicle";"51,222125";"60,302132";"58,848079";"62,754866";"62,526182"
"9";"wilt";"93,222704";"93,924588";"94,213331";"94,316424";"94,358088"
"10";"kr-vs-kp";"78,880486";"82,446905";"85,543594";"86,981877";"88,110795"
"11";"blood-transfusion-service";"74,733332";"76,342342";"76,745947";"75,944143";"76,077478"
"12";"cnae-9";"44,259261";"57,500001";"63,24074";"66,944444";"70,74074"
"13";"connectionist-mines-vs-rocks";"54,294373";"66,705627";"66,318181";"68,34632";"73,54329"
"14";"flare";"64,647609";"67,089027";"68,473091";"72,278401";"71,921229"
"15";"indian-liver-patient";"63,092222";"66,855999";"66,169061";"66,532037";"69,282201"
"16";"leukemia-haslinger";"76,80808";"81,070707";"84,070707";"85,959596";"83,070707"
"17";"mammographic-mass";"76,268291";"78,251887";"77,841665";"77,51075";"79,082"
"18";"mfeat-karhunen";"84,85";"90,05";"91,35";"91,55";"93,2"
"19";"musk";"92,952337";"94,543707";"95,953075";"97,120523";"97,332713"
"20";"ozone-onehr";"96,766982";"97,042573";"96,766827";"96,727145";"96,924464"
"21";"pendigits";"96,543004";"97,989418";"98,380592";"98,544437";"98,744593"
"22";"planning-relax";"66,549707";"63,71345";"67,163743";"69,239765";"70,497075"
"23";"seeds";"85,714287";"92,857146";"90,000002";"90,000003";"90,952383"
"24";"semeion";"73,779783";"81,196253";"84,875565";"84,755691";"85,562645"
"25";"spectf-heart";"66,878618";"67,988795";"67,874883";"72,017741";"72,294117"
"26";"tic-tac-toe";"70,262524";"79,227551";"77,242969";"78,508229";"79,53582"
"27";"twonorm";"97,26981";"97,364826";"97,432302";"97,405184";"97,472824"
"28";"hill-valley-with-noise";"51,810076";"51,573589";"52,310729";"50,728144";"51,238992"
"29";"balance-scale";"80,300586";"84,812604";"85,288794";"85,127084";"84,318409"
"30";"car";"71,181545";"71,238675";"71,469253";"72,050944";"71,008464"
