"";"V1";"V2";"V3";"V4";"V5";"V6"
"1";"iris";"51,333333";"74,666667";"82,666666";"87,333333";"85,333334"
"2";"bupa";"59,126051";"53,596638";"59,201681";"63,193278";"54,815127"
"3";"segment";"74,978352";"84,285713";"86,839828";"88,138529";"89,61039"
"4";"waveform-5000";"66,202773";"68,1413";"73,241436";"72,78107";"73,922475"
"5";"phishingData";"91,252771";"92,012535";"92,573416";"92,356465";"92,980278"
"6";"mushroom";"82,175707";"82,81627";"82,274805";"82,483831";"82,102665"
"7";"pima";"69,010594";"68,894394";"67,330828";"72,13773";"72,136022"
"8";"vehicle";"47,25448";"57,425822";"60,525734";"60,521396";"59,454002"
"9";"wilt";"96,259984";"96,775787";"97,189567";"97,561255";"97,375561"
"10";"kr-vs-kp";"92,553475";"94,774877";"95,244116";"96,308869";"96,746272"
"11";"blood-transfusion-service";"71,524325";"74,472073";"76,073874";"75,805406";"76,344143"
"12";"cnae-9";"47,5";"63,055555";"71,388887";"74,074074";"75,925925"
"13";"connectionist-mines-vs-rocks";"51,764069";"53,818182";"68,316017";"66,389612";"62,54762"
"14";"flare";"61,166487";"61,67456";"63,434493";"63,865081";"63,850051"
"15";"indian-liver-patient";"68,114369";"69,256361";"71,007516";"69,476247";"71,537061"
"16";"leukemia-haslinger";"48,989899";"68,848485";"60,343434";"58,19192";"64,80808"
"17";"mammographic-mass";"77,31718";"80,228453";"81,370037";"81,272474";"82,009247"
"18";"mfeat-karhunen";"42,05";"48,65";"59,35";"66,05";"68,85"
"19";"musk";"89,739505";"93,376742";"95,650412";"96,33216";"96,74109"
"20";"ozone-onehr";"96,05801";"96,333602";"96,806976";"96,806042";"96,568732"
"21";"pendigits";"75,063014";"84,251541";"88,847584";"91,649394";"91,894608"
"22";"planning-relax";"66,461987";"68,684209";"68,801168";"69,298243";"64,941518"
"23";"seeds";"66,190477";"76,190478";"81,904763";"83,333335";"83,333335"
"24";"semeion";"28,493358";"39,736477";"45,934629";"55,875932";"59,138917"
"25";"spectf-heart";"63,043418";"71,403828";"69,942576";"75,09477";"71,626052"
"26";"tic-tac-toe";"63,27644";"67,737282";"78,791284";"91,641357";"93,300393"
"27";"twonorm";"80,675114";"82,621628";"82,742354";"83,904902";"84,783918"
"28";"hill-valley-with-noise";"49,34021";"51,323657";"52,480706";"51,16249";"51,069639"
"29";"balance-scale";"65,282583";"70,574525";"75,966148";"77,428167";"75,997119"
"30";"car";"67,933515";"75,98925";"75,691067";"78,478256";"80,383712"
