"";"V1";"V2";"V3";"V4";"V5";"V6"
"1";"iris";"87,333333";"90";"93,333334";"93,333333";"95,333332"
"2";"bupa";"53,890755";"47,554621";"51,890756";"51,89916";"47,27731"
"3";"segment";"71,774892";"71,90476";"71,645021";"71,558441";"70,25974"
"4";"waveform-5000";"75,960203";"76,360846";"76,321045";"76,581046";"76,880685"
"5";"phishingData";"92,844862";"92,926251";"92,962433";"92,953376";"92,998599"
"6";"mushroom";"90,645843";"91,346361";"91,531181";"92,072949";"91,814736"
"7";"pima";"67,834929";"68,491114";"69,256664";"68,872179";"69,396787"
"8";"vehicle";"38,773637";"36,999198";"38,918972";"41,007761";"35,960659"
"9";"wilt";"93,407295";"93,821202";"93,552009";"93,882673";"93,552096"
"10";"kr-vs-kp";"64,016877";"64,049305";"65,114456";"64,675874";"66,207615"
"11";"blood-transfusion-service";"71,241441";"70,03063";"70,302702";"70,29009";"71,509909"
"12";"cnae-9";"22,962963";"20,740741";"28,796297";"24,814814";"26,11111"
"13";"connectionist-mines-vs-rocks";"53,969697";"61,162338";"58,666667";"57,757576";"58,283552"
"14";"flare";"43,364179";"37,882834";"39,508841";"38,079355";"42,171255"
"15";"indian-liver-patient";"51,826621";"52,662494";"51,134045";"54,380888";"51,487947"
"16";"leukemia-haslinger";"64,070707";"80,070707";"84,181818";"81,959596";"85,181818"
"17";"mammographic-mass";"77,196599";"77,718462";"78,034228";"78,348945";"77,096705"
"18";"mfeat-karhunen";"87,05";"89,45";"89,35";"90,3";"90,95"
"19";"musk";"70,275614";"75,8084";"74,080621";"74,704637";"77,493529"
"20";"ozone-onehr";"81,073748";"66,724911";"68,098663";"66,008622";"66,443868"
"21";"pendigits";"81,487341";"78,592765";"80,294269";"83,99787";"82,671609"
"22";"planning-relax";"70,906432";"53,88889";"61,491228";"64,707603";"59,356726"
"23";"seeds";"83,333335";"90,476192";"89,047622";"90,476191";"85,238098"
"24";"semeion";"64,020067";"73,512937";"75,892349";"75,583372";"75,710735"
"25";"spectf-heart";"76,141456";"71,028011";"68,430439";"67,278711";"68,18534"
"26";"tic-tac-toe";"65,444825";"67,021512";"69,94704";"69,942722";"69,737611"
"27";"twonorm";"97,837779";"97,837816";"97,891852";"97,810772";"97,837834"
"28";"hill-valley-with-noise";"49,188592";"50,339452";"49,015794";"50,335399";"51,416609"
"29";"balance-scale";"58,195044";"66,695458";"65,586406";"67,959842";"65,277044"
"30";"car";"70,025871";"70,025871";"70,025871";"70,083342";"70,025871"
